年份,考生所在地,考生类别,分数段,本段人数,累计人数
2019,吉林,理科,679分及以上,108,108
2019,吉林,理科,678,11,119
2019,吉林,理科,677,6,125
2019,吉林,理科,676,13,138
2019,吉林,理科,675,11,149
2019,吉林,理科,674,16,165
2019,吉林,理科,673,16,181
2019,吉林,理科,672,15,196
2019,吉林,理科,671,12,208
2019,吉林,理科,670,26,234
2019,吉林,理科,669,19,253
2019,吉林,理科,668,30,283
2019,吉林,理科,667,15,298
2019,吉林,理科,666,33,331
2019,吉林,理科,665,24,355
2019,吉林,理科,664,31,386
2019,吉林,理科,663,32,418
2019,吉林,理科,662,38,456
2019,吉林,理科,661,27,483
2019,吉林,理科,660,19,502
2019,吉林,理科,659,25,527
2019,吉林,理科,658,38,565
2019,吉林,理科,657,29,594
2019,吉林,理科,656,42,636
2019,吉林,理科,655,44,680
2019,吉林,理科,654,35,715
2019,吉林,理科,653,45,760
2019,吉林,理科,652,33,793
2019,吉林,理科,651,38,831
2019,吉林,理科,650,42,873
2019,吉林,理科,649,51,924
2019,吉林,理科,648,41,965
2019,吉林,理科,647,49,1014
2019,吉林,理科,646,53,1067
2019,吉林,理科,645,59,1126
2019,吉林,理科,644,37,1163
2019,吉林,理科,643,52,1215
2019,吉林,理科,642,63,1278
2019,吉林,理科,641,62,1340
2019,吉林,理科,640,59,1399
2019,吉林,理科,639,51,1450
2019,吉林,理科,638,70,1520
2019,吉林,理科,637,59,1579
2019,吉林,理科,636,64,1643
2019,吉林,理科,635,61,1704
2019,吉林,理科,634,76,1780
2019,吉林,理科,633,76,1856
2019,吉林,理科,632,66,1922
2019,吉林,理科,631,73,1995
2019,吉林,理科,630,78,2073
2019,吉林,文科,629分及以上,114,114
2019,吉林,理科,629,75,2148
2019,吉林,文科,628,4,118
2019,吉林,理科,628,81,2229
2019,吉林,文科,627,9,127
2019,吉林,理科,627,66,2295
2019,吉林,文科,626,9,136
2019,吉林,理科,626,100,2395
2019,吉林,理科,625,79,2474
2019,吉林,文科,625,9,145
2019,吉林,文科,624,9,154
2019,吉林,理科,624,82,2556
2019,吉林,文科,623,8,162
2019,吉林,理科,623,87,2643
2019,吉林,理科,622,91,2734
2019,吉林,文科,622,7,169
2019,吉林,理科,621,99,2833
2019,吉林,文科,621,11,180
2019,吉林,文科,620,9,189
2019,吉林,理科,620,94,2927
2019,吉林,理科,619,96,3023
2019,吉林,文科,619,10,199
2019,吉林,理科,618,97,3120
2019,吉林,文科,618,8,207
2019,吉林,理科,617,99,3219
2019,吉林,文科,617,16,223
2019,吉林,理科,616,101,3320
2019,吉林,文科,616,13,236
2019,吉林,理科,615,108,3428
2019,吉林,文科,615,15,251
2019,吉林,理科,614,114,3542
2019,吉林,文科,614,14,265
2019,吉林,理科,613,75,3617
2019,吉林,文科,613,16,281
2019,吉林,理科,612,81,3698
2019,吉林,文科,612,21,302
2019,吉林,理科,611,108,3806
2019,吉林,文科,611,14,316
2019,吉林,理科,610,130,3936
2019,吉林,文科,610,11,327
2019,吉林,理科,609,114,4050
2019,吉林,文科,609,21,348
2019,吉林,理科,608,102,4152
2019,吉林,文科,608,22,370
2019,吉林,理科,607,109,4261
2019,吉林,文科,607,20,390
2019,吉林,理科,606,104,4365
2019,吉林,文科,606,18,408
2019,吉林,理科,605,107,4472
2019,吉林,文科,605,15,423
2019,吉林,文科,604,18,441
2019,吉林,理科,604,138,4610
2019,吉林,文科,603,24,465
2019,吉林,理科,603,122,4732
2019,吉林,文科,602,19,484
2019,吉林,理科,602,137,4869
2019,吉林,文科,601,31,515
2019,吉林,理科,601,135,5004
2019,吉林,理科,600,139,5143
2019,吉林,文科,600,29,544
2019,吉林,理科,599,113,5256
2019,吉林,文科,599,20,564
2019,吉林,理科,598,116,5372
2019,吉林,文科,598,24,588
2019,吉林,理科,597,144,5516
2019,吉林,文科,597,17,605
2019,吉林,理科,596,128,5644
2019,吉林,文科,596,32,637
2019,吉林,理科,595,134,5778
2019,吉林,文科,595,21,658
2019,吉林,文科,594,31,689
2019,吉林,理科,594,158,5936
2019,吉林,理科,593,121,6057
2019,吉林,文科,593,33,722
2019,吉林,文科,592,27,749
2019,吉林,理科,592,145,6202
2019,吉林,理科,591,132,6334
2019,吉林,文科,591,28,777
2019,吉林,文科,590,26,803
2019,吉林,理科,590,171,6505
2019,吉林,文科,589,29,832
2019,吉林,理科,589,139,6644
2019,吉林,文科,588,33,865
2019,吉林,理科,588,157,6801
2019,吉林,文科,587,40,905
2019,吉林,理科,587,133,6934
2019,吉林,文科,586,36,941
2019,吉林,理科,586,154,7088
2019,吉林,文科,585,44,985
2019,吉林,理科,585,162,7250
2019,吉林,理科,584,168,7418
2019,吉林,文科,584,38,1023
2019,吉林,理科,583,140,7558
2019,吉林,文科,583,34,1057
2019,吉林,理科,582,131,7689
2019,吉林,文科,582,44,1101
2019,吉林,理科,581,154,7843
2019,吉林,文科,581,39,1140
2019,吉林,理科,580,168,8011
2019,吉林,文科,580,47,1187
2019,吉林,理科,579,145,8156
