年份,考生所在地,考生类别,分数段,本段人数,累计人数
2019,四川,文科,993,133,3091
2019,四川,理科,990,745,40632
2019,四川,文科,954,318,12080
2019,四川,理科,706,8,61
2019,四川,理科,705,14,75
2019,四川,理科,704,15,90
2019,四川,理科,703,18,108
2019,四川,理科,702,23,131
2019,四川,理科,701,25,156
2019,四川,理科,700,26,182
2019,四川,理科,699,27,209
2019,四川,理科,698,30,239
2019,四川,理科,697,36,275
2019,四川,理科,696,43,318
2019,四川,理科,695,40,358
2019,四川,理科,694,46,404
2019,四川,理科,693,48,452
2019,四川,理科,692,67,519
2019,四川,理科,691,62,581
2019,四川,理科,690,61,642
2019,四川,理科,689,62,704
2019,四川,理科,688,91,795
2019,四川,理科,687,70,865
2019,四川,理科,686,93,958
2019,四川,理科,685,95,1053
2019,四川,理科,684,111,1164
2019,四川,理科,683,134,1298
2019,四川,理科,682,108,1406
2019,四川,理科,681,126,1532
2019,四川,理科,680,123,1655
2019,四川,理科,679,126,1781
2019,四川,理科,678,150,1931
2019,四川,理科,677,135,2064
2019,四川,理科,676,147,2211
2019,四川,理科,675,138,2349
2019,四川,理科,674,180,2529
2019,四川,理科,673,168,2697
2019,四川,理科,672,195,2892
2019,四川,理科,671,185,3077
2019,四川,理科,670,209,3286
2019,四川,理科,669,199,3485
2019,四川,理科,668,202,3687
2019,四川,理科,667,198,3885
2019,四川,理科,666,207,4092
2019,四川,理科,665,253,4345
2019,四川,理科,664,226,4571
2019,四川,理科,663,254,4825
2019,四川,理科,662,250,5075
2019,四川,理科,661,241,5316
2019,四川,理科,660,245,5561
2019,四川,理科,659,250,5811
2019,四川,理科,658,269,6080
2019,四川,理科,657,299,6379
2019,四川,理科,656,292,6671
2019,四川,理科,655,300,6971
2019,四川,文科,655,5,39
2019,四川,理科,654,328,7299
2019,四川,文科,654,3,42
2019,四川,理科,653,306,7605
2019,四川,文科,653,8,50
2019,四川,文科,652,5,55
2019,四川,理科,652,341,7946
2019,四川,文科,651,6,61
2019,四川,理科,651,343,8289
2019,四川,文科,650,8,69
2019,四川,理科,650,324,8613
2019,四川,文科,649,4,73
2019,四川,理科,649,323,8936
2019,四川,理科,648,368,9304
2019,四川,文科,648,9,82
2019,四川,文科,647,9,91
2019,四川,理科,647,332,9636
2019,四川,理科,646,355,9991
2019,四川,文科,646,15,106
2019,四川,理科,645,344,10335
2019,四川,文科,645,17,123
2019,四川,理科,644,362,10697
2019,四川,文科,644,9,132
2019,四川,文科,643,17,149
2019,四川,理科,643,363,11060
2019,四川,文科,642,10,159
2019,四川,理科,642,376,11436
2019,四川,文科,641,18,177
2019,四川,理科,641,396,11832
2019,四川,文科,640,14,191
2019,四川,理科,640,388,12220
2019,四川,文科,639,19,210
2019,四川,理科,639,407,12627
2019,四川,文科,638,17,227
2019,四川,理科,638,415,13042
2019,四川,文科,637,18,245
2019,四川,理科,637,428,13470
2019,四川,文科,636,17,262
2019,四川,理科,636,424,13894
2019,四川,文科,635,19,281
2019,四川,理科,635,402,14296
2019,四川,文科,634,26,307
2019,四川,理科,634,413,14709
2019,四川,文科,633,21,328
2019,四川,理科,633,508,15217
2019,四川,文科,632,18,346
2019,四川,理科,632,467,15684
2019,四川,文科,631,30,376
2019,四川,理科,631,461,16145
2019,四川,文科,630,27,403
2019,四川,理科,630,442,16587
2019,四川,文科,629,32,435
2019,四川,理科,629,455,17042
2019,四川,文科,628,33,468
2019,四川,理科,628,511,17553
2019,四川,文科,627,22,490
2019,四川,理科,627,473,18026
2019,四川,文科,626,44,534
2019,四川,理科,626,484,18510
2019,四川,文科,625,35,569
2019,四川,理科,625,513,19023
2019,四川,文科,624,33,602
2019,四川,理科,624,548,19571
2019,四川,文科,623,40,642
2019,四川,理科,623,527,20098
2019,四川,文科,622,43,685
2019,四川,理科,622,537,20635
2019,四川,理科,621,529,21164
2019,四川,文科,621,44,729
2019,四川,理科,620,530,21694
2019,四川,文科,620,37,766
2019,四川,理科,619,535,22229
2019,四川,文科,619,57,823
2019,四川,理科,618,538,22767
2019,四川,文科,618,50,873
2019,四川,理科,617,533,23300
2019,四川,文科,617,47,920
2019,四川,理科,616,596,23896
2019,四川,文科,616,66,986
2019,四川,理科,615,535,24431
2019,四川,文科,615,55,1041
2019,四川,文科,614,69,1110
2019,四川,理科,614,619,25050
2019,四川,理科,613,576,25626
2019,四川,文科,613,68,1178
2019,四川,文科,612,70,1248
2019,四川,理科,612,563,26189
2019,四川,文科,611,77,1325
2019,四川,理科,611,613,26802
2019,四川,文科,610,62,1387
2019,四川,理科,610,601,27403
2019,四川,文科,609,70,1457
2019,四川,理科,609,616,28019
2019,四川,文科,608,71,1528
2019,四川,理科,608,583,28602
2019,四川,文科,607,87,1615
2019,四川,理科,607,637,29239
2019,四川,文科,606,80,1695
2019,四川,理科,606,603,29842
2019,四川,文科,605,79,1774
2019,四川,理科,605,665,30507
2019,四川,文科,604,83,1857
2019,四川,理科,604,616,31123
2019,四川,文科,603,85,1942
2019,四川,理科,603,626,31749
2019,四川,理科,602,680,32429
2019,四川,文科,602,94,2036
2019,四川,理科,601,629,33058
2019,四川,文科,601,95,2131
2019,四川,理科,600,643,33701
2019,四川,文科,600,97,2228
2019,四川,理科,599,674,34375
2019,四川,文科,599,105,2333
2019,四川,理科,598,640,35015
2019,四川,文科,598,104,2437
2019,四川,理科,597,674,35689
2019,四川,文科,597,135,2572
2019,四川,理科,596,687,36376
2019,四川,文科,596,130,2702
2019,四川,理科,595,700,37076
2019,四川,文科,595,118,2820
2019,四川,理科,594,659,37735
2019,四川,文科,594,138,2958
2019,四川,理科,593,711,38446
2019,四川,理科,592,729,39175
2019,四川,文科,592,143,3234
2019,四川,文科,591,147,3381
2019,四川,理科,591,712,39887
2019,四川,文科,590,134,3515
2019,四川,理科,589,737,41369
2019,四川,文科,589,142,3657
2019,四川,理科,588,773,42142
2019,四川,文科,588,138,3795
2019,四川,文科,587,157,3952
2019,四川,理科,587,760,42902
2019,四川,文科,586,150,4102
2019,四川,理科,586,796,43698
2019,四川,理科,585,756,44454
2019,四川,文科,585,151,4253
2019,四川,文科,584,177,4430
2019,四川,理科,584,785,45239
2019,四川,理科,583,759,45998
2019,四川,文科,583,194,4624
2019,四川,理科,582,790,46788
2019,四川,文科,582,176,4800
2019,四川,文科,581,210,5010
2019,四川,理科,581,726,47514
2019,四川,文科,580,183,5193
2019,四川,理科,580,766,48280
2019,四川,文科,579,193,5386
2019,四川,理科,579,800,49080
2019,四川,文科,578,207,5593
2019,四川,理科,578,796,49876
2019,四川,文科,577,206,5799
2019,四川,理科,577,815,50691
2019,四川,文科,576,184,5983
2019,四川,理科,576,817,51508
2019,四川,文科,575,212,6195
2019,四川,理科,575,847,52355
2019,四川,文科,574,210,6405
2019,四川,理科,574,839,53194
2019,四川,文科,573,238,6643
2019,四川,理科,573,833,54027
2019,四川,文科,572,237,6880
2019,四川,理科,572,790,54817
2019,四川,理科,571,857,55674
2019,四川,文科,571,246,7126
2019,四川,理科,570,842,56516
2019,四川,文科,570,234,7360
2019,四川,理科,569,915,57431
2019,四川,文科,569,235,7595
2019,四川,理科,568,878,58309
2019,四川,文科,568,232,7827
2019,四川,理科,567,880,59189
2019,四川,文科,567,258,8085
2019,四川,理科,566,896,60085
2019,四川,文科,566,253,8338
2019,四川,理科,565,889,60974
2019,四川,文科,565,267,8605
2019,四川,理科,564,897,61871
2019,四川,文科,564,289,8894
2019,四川,理科,563,905,62776
2019,四川,文科,563,301,9195
2019,四川,理科,562,913,63689
2019,四川,文科,562,274,9469
2019,四川,理科,561,923,64612
2019,四川,文科,561,308,9777
2019,四川,理科,560,868,65480
2019,四川,文科,560,312,10089
2019,四川,理科,559,932,66412
2019,四川,文科,559,320,10409
2019,四川,理科,558,907,67319
2019,四川,文科,558,319,10728
2019,四川,理科,557,943,68262
2019,四川,文科,557,328,11056
2019,四川,理科,556,889,69151
2019,四川,文科,556,343,11399
2019,四川,理科,555,933,70084
2019,四川,文科,555,363,11762
2019,四川,理科,554,958,71042
2019,四川,理科,553,966,72008
2019,四川,文科,553,364,12444
2019,四川,理科,552,916,72924
2019,四川,文科,552,367,12811
2019,四川,理科,551,923,73847
2019,四川,文科,551,388,13199
2019,四川,理科,550,949,74796
2019,四川,文科,550,408,13607
2019,四川,理科,549,928,75724
2019,四川,文科,549,406,14013
2019,四川,理科,548,1029,76753
2019,四川,文科,548,392,14405
2019,四川,理科,547,996,77749
2019,四川,文科,547,381,14786
2019,四川,理科,546,995,78744
2019,四川,文科,546,433,15219
2019,四川,理科,545,1036,79780
2019,四川,文科,545,460,15679
2019,四川,理科,544,932,80712
2019,四川,文科,544,452,16131
2019,四川,理科,543,1007,81719
2019,四川,文科,543,409,16540
2019,四川,理科,542,1002,82721
2019,四川,文科,542,514,17054
2019,四川,理科,541,985,83706
2019,四川,理科,541,985,83706
2019,四川,理科,540,1002,84708
2019,四川,文科,540,450,17984
2019,四川,文科,539,472,18456
2019,四川,理科,539,982,85690
2019,四川,理科,538,1059,86749
2019,四川,文科,538,473,18929
2019,四川,文科,537,446,19375
2019,四川,理科,537,996,87745
2019,四川,理科,536,986,88731
2019,四川,文科,536,509,19884
2019,四川,文科,535,511,20395
2019,四川,理科,535,991,89722
2019,四川,理科,534,1043,90765
2019,四川,文科,534,545,20940
2019,四川,文科,533,540,21480
2019,四川,理科,533,1005,91770
2019,四川,理科,532,1054,92824
2019,四川,文科,532,552,22032
2019,四川,文科,531,550,22582
2019,四川,理科,531,1014,93838
2019,四川,理科,530,1083,94921
2019,四川,文科,530,546,23128
2019,四川,文科,529,573,23701
2019,四川,理科,529,1025,95946
2019,四川,文科,528,551,24252
2019,四川,理科,528,1010,96956
2019,四川,理科,527,1030,97986
2019,四川,文科,527,602,24854
2019,四川,理科,526,1010,98996
2019,四川,文科,526,625,25479
2019,四川,文科,525,577,26056
2019,四川,理科,525,1042,100038
2019,四川,理科,524,967,101005
2019,四川,文科,524,624,26680
2019,四川,文科,523,615,27295
2019,四川,理科,523,1058,102063
2019,四川,理科,522,1060,103123
2019,四川,文科,522,604,27899
2019,四川,文科,521,701,28600
2019,四川,理科,521,1026,104149
2019,四川,文科,520,695,29295
2019,四川,理科,520,1061,105210
2019,四川,文科,519,649,29944
2019,四川,理科,519,1010,106220
2019,四川,文科,518,702,30646
2019,四川,理科,518,1058,107278
2019,四川,文科,517,712,31358
2019,四川,理科,517,1001,108279
2019,四川,文科,516,683,32041
2019,四川,理科,516,1072,109351
2019,四川,文科,515,707,32748
2019,四川,理科,515,1058,110409
2019,四川,文科,514,702,33450
2019,四川,理科,514,1047,111456
2019,四川,文科,513,701,34151
2019,四川,理科,513,1090,112546
2019,四川,文科,512,693,34844
2019,四川,理科,512,1032,113578
2019,四川,文科,511,757,35601
2019,四川,理科,511,1067,114645
2019,四川,文科,510,737,36338
2019,四川,理科,510,1065,115710
2019,四川,文科,509,719,37057
2019,四川,理科,509,1051,116761
2019,四川,文科,508,774,37831
2019,四川,理科,508,1057,117818
2019,四川,文科,507,756,38587
2019,四川,理科,507,1063,118881
2019,四川,文科,506,767,39354
2019,四川,理科,506,1041,119922
2019,四川,文科,505,775,40129
2019,四川,理科,505,1057,120979
2019,四川,文科,504,761,40890
2019,四川,理科,504,1072,122051
2019,四川,文科,503,840,41730
2019,四川,理科,503,989,123040
2019,四川,文科,502,741,42471
2019,四川,理科,502,1069,124109
2019,四川,文科,501,796,43267
2019,四川,理科,501,1020,125129
2019,四川,文科,500,845,44112
2019,四川,理科,500,1019,126148
2019,四川,文科,499,773,44885
2019,四川,理科,499,1028,127176
2019,四川,文科,498,822,45707
2019,四川,理科,498,1034,128210
