年份,考生所在地,考生类别,分数段,本段人数,累计人数
2019,天津,理科,700分以上,38,38
2019,天津,理科,700,5,43
2019,天津,理科,699,6,49
2019,天津,理科,698,10,59
2019,天津,理科,697,11,70
2019,天津,理科,696,11,81
2019,天津,理科,695,5,86
2019,天津,理科,694,12,98
2019,天津,理科,693,6,104
2019,天津,理科,692,17,121
2019,天津,理科,691,22,143
2019,天津,理科,690,12,155
2019,天津,理科,689,10,165
2019,天津,理科,688,19,184
2019,天津,理科,687,14,198
2019,天津,理科,686,23,221
2019,天津,理科,685,13,234
2019,天津,理科,684,26,260
2019,天津,理科,683,26,286
2019,天津,理科,682,26,312
2019,天津,理科,681,31,343
2019,天津,理科,680,25,368
2019,天津,理科,679,26,394
2019,天津,理科,678,37,431
2019,天津,理科,677,36,467
2019,天津,理科,676,25,492
2019,天津,理科,675,36,528
2019,天津,理科,674,30,558
2019,天津,理科,673,27,585
2019,天津,理科,672,37,622
2019,天津,理科,671,43,665
2019,天津,理科,670,37,702
2019,天津,理科,669,31,733
2019,天津,理科,668,33,766
2019,天津,理科,667,35,801
2019,天津,理科,666,46,847
2019,天津,理科,665,48,895
2019,天津,理科,664,54,949
2019,天津,理科,663,54,1003
2019,天津,理科,662,48,1051
2019,天津,理科,661,41,1092
2019,天津,文科,660分以上,4,4
2019,天津,理科,660,54,1146
2019,天津,文科,659,1,5
2019,天津,理科,659,46,1192
2019,天津,理科,658,62,1254
2019,天津,文科,658,1,6
2019,天津,文科,657,1,7
2019,天津,理科,657,61,1315
2019,天津,文科,656,1,8
2019,天津,理科,656,50,1365
2019,天津,理科,655,40,1405
2019,天津,文科,654,1,9
2019,天津,理科,654,46,1451
2019,天津,理科,653,55,1506
2019,天津,文科,653,1,10
2019,天津,理科,652,58,1564
2019,天津,文科,652,2,12
2019,天津,理科,651,57,1621
2019,天津,文科,651,4,16
2019,天津,理科,650,51,1672
2019,天津,文科,650,2,18
2019,天津,理科,649,72,1744
2019,天津,文科,649,3,21
2019,天津,理科,648,70,1814
2019,天津,文科,648,3,24
2019,天津,理科,647,77,1891
2019,天津,文科,647,5,29
2019,天津,文科,646,1,30
2019,天津,理科,646,75,1966
2019,天津,文科,645,1,31
2019,天津,理科,645,59,2025
2019,天津,文科,644,2,33
2019,天津,理科,644,75,2100
2019,天津,文科,643,1,34
2019,天津,理科,643,69,2169
2019,天津,文科,642,2,36
2019,天津,理科,642,84,2253
2019,天津,文科,641,2,38
2019,天津,理科,641,72,2325
2019,天津,文科,640,4,42
2019,天津,理科,640,71,2396
2019,天津,文科,639,2,44
2019,天津,理科,639,75,2471
2019,天津,文科,638,9,53
2019,天津,理科,638,64,2535
2019,天津,文科,637,7,60
2019,天津,理科,637,72,2607
2019,天津,文科,636,3,63
2019,天津,理科,636,83,2690
2019,天津,文科,635,4,67
2019,天津,理科,635,82,2772
2019,天津,文科,634,5,72
2019,天津,理科,634,70,2842
2019,天津,文科,633,7,79
2019,天津,理科,633,73,2915
2019,天津,文科,632,7,86
2019,天津,理科,632,61,2976
2019,天津,文科,631,6,92
2019,天津,理科,631,73,3049
2019,天津,文科,630,8,100
2019,天津,理科,630,90,3139
2019,天津,文科,629,9,109
2019,天津,理科,629,95,3234
2019,天津,文科,628,8,117
2019,天津,理科,628,81,3315
2019,天津,文科,627,11,128
2019,天津,理科,627,79,3394
2019,天津,文科,626,9,137
2019,天津,理科,626,79,3473
2019,天津,文科,625,8,145
2019,天津,理科,625,89,3562
2019,天津,文科,624,8,153
2019,天津,理科,624,88,3650
2019,天津,文科,623,8,161
2019,天津,理科,623,83,3733
2019,天津,文科,622,17,178
2019,天津,理科,622,87,3820
2019,天津,文科,621,11,189
2019,天津,理科,621,68,3888
2019,天津,文科,620,9,198
2019,天津,理科,620,82,3970
2019,天津,文科,619,5,203
2019,天津,理科,619,76,4046
2019,天津,文科,618,18,221
2019,天津,理科,618,88,4134
2019,天津,文科,617,12,233
2019,天津,理科,617,86,4220
2019,天津,文科,616,13,246
2019,天津,理科,616,65,4285
2019,天津,文科,615,12,258
2019,天津,理科,615,75,4360
2019,天津,文科,614,13,271
2019,天津,理科,614,94,4454
2019,天津,文科,613,15,286
2019,天津,理科,613,106,4560
2019,天津,文科,612,10,296
2019,天津,理科,612,99,4659
2019,天津,文科,611,23,319
2019,天津,理科,611,66,4725
2019,天津,文科,610,10,329
2019,天津,理科,610,86,4811
2019,天津,文科,609,9,338
2019,天津,理科,609,91,4902
2019,天津,文科,608,9,347
2019,天津,理科,608,101,5003
2019,天津,文科,607,17,364
2019,天津,理科,607,102,5105
2019,天津,文科,606,21,385
2019,天津,理科,606,102,5207
2019,天津,文科,605,21,406
2019,天津,理科,605,103,5310
2019,天津,文科,604,15,421
2019,天津,理科,604,88,5398
2019,天津,文科,603,22,443
