年份,考生所在地,考生类别,分数段,本段人数,累计人数
2019,宁夏,理科,630分及以上,126,126
2019,宁夏,理科,629,16,142
2019,宁夏,理科,628,7,149
2019,宁夏,理科,627,8,157
2019,宁夏,理科,626,10,167
2019,宁夏,理科,625,10,177
2019,宁夏,理科,624,5,182
2019,宁夏,理科,623,11,193
2019,宁夏,理科,622,10,203
2019,宁夏,理科,621,7,210
2019,宁夏,理科,620,8,218
2019,宁夏,理科,619,10,228
2019,宁夏,理科,618,8,236
2019,宁夏,理科,617,12,248
2019,宁夏,理科,616,11,259
2019,宁夏,理科,615,9,268
2019,宁夏,理科,614,9,277
2019,宁夏,理科,613,18,295
2019,宁夏,理科,612,17,312
2019,宁夏,理科,611,10,322
2019,宁夏,理科,610,14,336
2019,宁夏,理科,609,26,362
2019,宁夏,理科,608,16,378
2019,宁夏,理科,607,16,394
2019,宁夏,理科,606,19,413
2019,宁夏,理科,605,22,435
2019,宁夏,理科,604,12,447
2019,宁夏,理科,603,13,460
2019,宁夏,理科,602,15,475
2019,宁夏,理科,601,19,494
2019,宁夏,文科,600分及以上,426,426
2019,宁夏,理科,600,25,519
2019,宁夏,理科,599,24,543
2019,宁夏,文科,599,19,445
2019,宁夏,理科,598,25,568
2019,宁夏,文科,598,16,461
2019,宁夏,理科,597,27,595
2019,宁夏,文科,597,21,482
2019,宁夏,理科,596,21,616
2019,宁夏,文科,596,15,497
2019,宁夏,理科,595,25,641
2019,宁夏,文科,595,26,523
2019,宁夏,理科,594,22,663
2019,宁夏,文科,594,22,545
2019,宁夏,文科,593,17,562
2019,宁夏,理科,593,25,688
2019,宁夏,文科,592,12,574
2019,宁夏,理科,592,24,712
2019,宁夏,文科,591,26,600
2019,宁夏,理科,591,20,732
2019,宁夏,文科,590,18,618
2019,宁夏,理科,590,33,765
2019,宁夏,文科,589,17,635
2019,宁夏,理科,589,34,799
2019,宁夏,文科,588,24,659
2019,宁夏,理科,588,29,828
2019,宁夏,文科,587,16,675
2019,宁夏,理科,587,37,865
2019,宁夏,文科,586,23,698
2019,宁夏,理科,586,38,903
2019,宁夏,理科,585,33,936
2019,宁夏,文科,585,17,715
2019,宁夏,文科,584,30,745
2019,宁夏,理科,584,24,960
2019,宁夏,理科,583,36,996
2019,宁夏,文科,583,33,778
2019,宁夏,理科,582,18,1014
2019,宁夏,文科,582,32,810
2019,宁夏,文科,581,24,834
2019,宁夏,理科,581,39,1053
2019,宁夏,文科,580,18,852
2019,宁夏,理科,580,27,1080
2019,宁夏,文科,579,31,883
2019,宁夏,理科,579,24,1104
2019,宁夏,文科,578,31,914
2019,宁夏,理科,578,35,1139
2019,宁夏,文科,577,27,941
2019,宁夏,理科,577,34,1173
2019,宁夏,文科,576,32,973
2019,宁夏,理科,576,38,1211
2019,宁夏,文科,575,35,1008
2019,宁夏,理科,575,24,1235
2019,宁夏,文科,574,20,1028
2019,宁夏,理科,574,45,1280
2019,宁夏,文科,573,31,1059
2019,宁夏,理科,573,38,1318
2019,宁夏,文科,572,30,1089
2019,宁夏,理科,572,37,1355
2019,宁夏,文科,571,26,1115
2019,宁夏,理科,571,27,1382
2019,宁夏,文科,570,33,1148
2019,宁夏,理科,570,29,1411
2019,宁夏,文科,569,42,1190
2019,宁夏,理科,569,35,1446
2019,宁夏,文科,568,36,1226
2019,宁夏,理科,568,36,1482
2019,宁夏,文科,567,50,1276
2019,宁夏,理科,567,35,1517
2019,宁夏,文科,566,44,1320
2019,宁夏,理科,566,47,1564
2019,宁夏,文科,565,40,1360
2019,宁夏,理科,565,34,1598
2019,宁夏,文科,564,21,1381
2019,宁夏,理科,564,44,1642
2019,宁夏,文科,563,41,1422
2019,宁夏,理科,563,40,1682
2019,宁夏,文科,562,45,1467
2019,宁夏,理科,562,44,1726
2019,宁夏,文科,561,39,1506
2019,宁夏,理科,561,42,1768
2019,宁夏,文科,560,39,1545
2019,宁夏,理科,560,35,1803
2019,宁夏,文科,559,37,1582
2019,宁夏,理科,559,49,1852
2019,宁夏,文科,558,60,1642
2019,宁夏,理科,558,38,1890
2019,宁夏,文科,557,37,1679
2019,宁夏,理科,557,48,1938
2019,宁夏,文科,556,51,1730
2019,宁夏,理科,556,47,1985
2019,宁夏,文科,555,37,1767
2019,宁夏,理科,555,55,2040
2019,宁夏,文科,554,45,1812
2019,宁夏,理科,554,55,2095
2019,宁夏,文科,553,54,1866
2019,宁夏,理科,553,51,2146
2019,宁夏,文科,552,55,1921
2019,宁夏,理科,552,51,2197
2019,宁夏,文科,551,65,1986
2019,宁夏,理科,551,49,2246
2019,宁夏,文科,550,61,2047
2019,宁夏,理科,550,40,2286
2019,宁夏,文科,549,51,2098
2019,宁夏,理科,549,45,2331
2019,宁夏,文科,548,54,2152
