年份,考生所在地,考生类别,分数段,本段人数,累计人数
2019,安徽,理科,685分及以上,55,55
2019,安徽,理科,684,2,57
2019,安徽,理科,683,14,71
2019,安徽,理科,682,6,77
2019,安徽,理科,681,5,82
2019,安徽,理科,680,12,94
2019,安徽,理科,679,11,105
2019,安徽,理科,678,14,119
2019,安徽,理科,677,15,134
2019,安徽,理科,676,14,148
2019,安徽,理科,675,12,160
2019,安徽,理科,674,18,178
2019,安徽,理科,673,22,200
2019,安徽,理科,672,24,224
2019,安徽,理科,671,30,254
2019,安徽,理科,670,37,291
2019,安徽,理科,669,28,319
2019,安徽,理科,668,26,345
2019,安徽,理科,667,39,384
2019,安徽,理科,666,27,411
2019,安徽,理科,665,27,438
2019,安徽,理科,664,36,474
2019,安徽,理科,663,47,521
2019,安徽,理科,662,48,569
2019,安徽,理科,661,42,611
2019,安徽,理科,660,41,652
2019,安徽,理科,659,56,708
2019,安徽,理科,658,48,756
2019,安徽,理科,657,52,808
2019,安徽,理科,656,63,871
2019,安徽,理科,655,46,917
2019,安徽,理科,654,64,981
2019,安徽,理科,653,72,1053
2019,安徽,理科,652,84,1137
2019,安徽,理科,651,69,1206
2019,安徽,文科,650分及以上,58,58
2019,安徽,理科,650,82,1288
2019,安徽,理科,649,88,1376
2019,安徽,文科,649,8,66
2019,安徽,文科,648,6,72
2019,安徽,文科,648,6,72
2019,安徽,理科,647,89,1551
2019,安徽,文科,647,9,81
2019,安徽,理科,646,93,1644
2019,安徽,文科,646,12,93
2019,安徽,理科,645,93,1737
2019,安徽,文科,645,6,99
2019,安徽,文科,644,15,114
2019,安徽,理科,644,81,1818
2019,安徽,理科,643,88,1906
2019,安徽,文科,643,8,122
2019,安徽,文科,642,9,131
2019,安徽,理科,642,89,1995
2019,安徽,理科,641,108,2103
2019,安徽,文科,641,11,142
2019,安徽,文科,640,14,156
2019,安徽,理科,640,108,2211
2019,安徽,文科,639,21,177
2019,安徽,理科,639,122,2333
