年份,考生所在地,考生类别,分数段,本段人数,累计人数
2019,山东,理科,690,4,50
2019,山东,理科,689,7,57
2019,山东,理科,688,14,71
2019,山东,理科,687,13,84
2019,山东,理科,686,17,101
2019,山东,理科,685,13,114
2019,山东,理科,684,19,133
2019,山东,理科,683,15,148
2019,山东,理科,682,24,172
2019,山东,理科,681,19,191
2019,山东,理科,680,28,219
2019,山东,理科,679,26,245
2019,山东,理科,678,27,272
2019,山东,理科,677,28,300
2019,山东,理科,676,31,331
2019,山东,理科,675,24,355
2019,山东,理科,674,33,388
2019,山东,理科,673,24,412
2019,山东,理科,672,40,452
2019,山东,理科,671,34,486
2019,山东,理科,670,39,525
2019,山东,理科,669,37,562
2019,山东,理科,668,46,608
2019,山东,理科,667,40,648
2019,山东,理科,666,47,695
2019,山东,理科,665,64,759
2019,山东,理科,664,73,832
2019,山东,理科,663,60,892
2019,山东,理科,662,61,953
2019,山东,理科,661,51,1004
2019,山东,理科,660,70,1074
2019,山东,理科,659,77,1151
2019,山东,理科,658,88,1239
2019,山东,理科,657,93,1332
2019,山东,理科,656,82,1414
2019,山东,理科,655,121,1535
2019,山东,理科,654,98,1633
2019,山东,文科,654,3,21
2019,山东,文科,653,3,24
2019,山东,理科,653,90,1723
2019,山东,理科,652,96,1819
2019,山东,理科,651,114,1933
2019,山东,文科,651,5,29
2019,山东,理科,650,115,2048
2019,山东,文科,650,1,30
2019,山东,理科,649,127,2175
2019,山东,文科,649,2,32
2019,山东,文科,648,4,36
2019,山东,理科,648,119,2294
2019,山东,文科,647,6,42
2019,山东,理科,647,139,2433
2019,山东,文科,646,3,45
2019,山东,理科,646,132,2565
2019,山东,文科,645,4,49
2019,山东,理科,645,141,2706
2019,山东,文科,644,5,54
2019,山东,理科,644,152,2858
2019,山东,文科,643,9,63
2019,山东,理科,643,137,2995
2019,山东,文科,642,11,74
2019,山东,文科,642,11,74
2019,山东,理科,641,166,3326
2019,山东,文科,641,12,86
2019,山东,文科,640,12,98
2019,山东,理科,640,142,3468
2019,山东,文科,639,15,113
2019,山东,理科,639,169,3637
2019,山东,文科,638,13,126
2019,山东,理科,638,181,3818
2019,山东,文科,637,18,144
2019,山东,理科,637,214,4032
2019,山东,理科,636,184,4216
2019,山东,文科,636,18,162
2019,山东,文科,635,13,175
2019,山东,理科,635,218,4434
2019,山东,理科,634,214,4648
2019,山东,文科,634,18,193
2019,山东,理科,633,208,4856
2019,山东,文科,633,20,213
2019,山东,文科,632,25,238
2019,山东,理科,632,217,5073
2019,山东,理科,631,251,5324
2019,山东,文科,631,26,264
2019,山东,文科,630,30,294
2019,山东,理科,630,258,5582
2019,山东,理科,629,236,5818
2019,山东,文科,629,19,313
2019,山东,理科,628,272,6090
2019,山东,文科,628,19,332
2019,山东,文科,627,36,368
2019,山东,理科,627,270,6360
2019,山东,文科,626,40,408
2019,山东,理科,626,311,6671
2019,山东,理科,625,283,6954
2019,山东,文科,625,37,445
2019,山东,文科,624,34,479
2019,山东,理科,624,265,7219
2019,山东,理科,623,304,7523
2019,山东,文科,623,48,527
2019,山东,文科,622,47,574
2019,山东,文科,622,47,574
2019,山东,理科,621,311,8136
2019,山东,文科,621,53,627
2019,山东,理科,620,292,8428
2019,山东,文科,620,52,679
2019,山东,理科,619,328,8756
2019,山东,文科,619,61,740
2019,山东,理科,618,358,9114
2019,山东,文科,618,53,793
2019,山东,理科,617,351,9465
2019,山东,文科,617,61,854
2019,山东,理科,616,310,9775
2019,山东,文科,616,54,908
2019,山东,理科,615,357,10132
2019,山东,文科,615,58,966
2019,山东,理科,614,359,10491
2019,山东,文科,614,50,1016
2019,山东,理科,613,367,10858
2019,山东,文科,613,75,1091
2019,山东,理科,612,361,11219
2019,山东,理科,612,361,11219
2019,山东,文科,611,74,1237
2019,山东,理科,611,372,11591
2019,山东,文科,610,79,1316
2019,山东,理科,610,397,11988
2019,山东,文科,609,98,1414
2019,山东,理科,609,440,12428
2019,山东,文科,608,88,1502
2019,山东,理科,608,402,12830
2019,山东,文科,607,104,1606
2019,山东,理科,607,420,13250
2019,山东,文科,606,85,1691
2019,山东,理科,606,441,13691
2019,山东,文科,605,97,1788
2019,山东,理科,605,433,14124
2019,山东,文科,604,93,1881
2019,山东,理科,604,448,14572
2019,山东,文科,603,109,1990
2019,山东,理科,603,488,15060
2019,山东,文科,602,122,2112
2019,山东,文科,602,122,2112
2019,山东,理科,601,459,15959
2019,山东,文科,601,129,2241
2019,山东,理科,600,498,16457
2019,山东,文科,600,123,2364
2019,山东,理科,599,454,16911
2019,山东,文科,599,141,2505
2019,山东,理科,598,540,17451
2019,山东,文科,598,144,2649
2019,山东,理科,597,506,17957
2019,山东,文科,597,142,2791
2019,山东,理科,596,546,18503
2019,山东,文科,596,158,2949
2019,山东,理科,595,507,19010
2019,山东,文科,595,154,3103
2019,山东,理科,594,545,19555
2019,山东,文科,594,177,3280
2019,山东,理科,593,540,20095
2019,山东,文科,593,173,3453
2019,山东,理科,592,595,20690
2019,山东,文科,592,201,3654
2019,山东,文科,591,200,3854
2019,山东,理科,591,600,21290
2019,山东,文科,590,206,4060
2019,山东,理科,590,579,21869
2019,山东,文科,589,219,4279
2019,山东,理科,589,596,22465
2019,山东,文科,588,204,4483
2019,山东,理科,588,640,23105
2019,山东,文科,587,174,4657
2019,山东,理科,587,573,23678
2019,山东,文科,586,255,4912
2019,山东,理科,586,638,24316
2019,山东,文科,585,217,5129
2019,山东,理科,585,622,24938
2019,山东,文科,584,218,5347
2019,山东,理科,584,611,25549
2019,山东,文科,583,255,5602
2019,山东,理科,583,639,26188
2019,山东,文科,582,237,5839
2019,山东,理科,582,653,26841
2019,山东,文科,581,241,6080
2019,山东,理科,581,699,27540
2019,山东,文科,580,265,6345
2019,山东,理科,580,709,28249
2019,山东,文科,579,289,6634
2019,山东,理科,579,718,28967
2019,山东,文科,578,294,6928
2019,山东,理科,578,723,29690
2019,山东,文科,577,288,7216
2019,山东,理科,577,734,30424
2019,山东,文科,576,299,7515
2019,山东,理科,576,755,31179
2019,山东,文科,575,335,7850
2019,山东,理科,575,779,31958
2019,山东,文科,574,336,8186
2019,山东,理科,574,730,32688
2019,山东,文科,573,348,8534
2019,山东,理科,573,767,33455
2019,山东,文科,572,399,8933
2019,山东,文科,572,399,8933
2019,山东,理科,571,773,34957
2019,山东,文科,571,352,9285
2019,山东,理科,570,791,35748
2019,山东,文科,570,356,9641
2019,山东,理科,569,798,36546
2019,山东,文科,569,399,10040
2019,山东,理科,568,777,37323
2019,山东,文科,568,385,10425
2019,山东,理科,567,828,38151
2019,山东,文科,567,439,10864
2019,山东,理科,566,829,38980
2019,山东,文科,566,396,11260
2019,山东,理科,565,840,39820
2019,山东,文科,565,394,11654
2019,山东,理科,564,839,40659
2019,山东,文科,564,436,12090
2019,山东,理科,563,877,41536
2019,山东,文科,563,442,12532
2019,山东,理科,562,882,42418
