年份,考生所在地,考生类别,分数段,本段人数,累计人数
2019,山西,理科,683,4,14
2019,山西,理科,682,2,16
2019,山西,理科,681,3,19
2019,山西,理科,680,3,22
2019,山西,理科,679,4,26
2019,山西,理科,678,1,27
2019,山西,理科,677,1,28
2019,山西,理科,676,5,33
2019,山西,理科,675,1,34
2019,山西,理科,674,3,37
2019,山西,理科,673,1,38
2019,山西,理科,672,1,39
2019,山西,理科,671,2,41
2019,山西,理科,670,5,46
2019,山西,理科,669,4,50
2019,山西,理科,668,6,56
2019,山西,理科,667,10,66
2019,山西,理科,666,5,71
2019,山西,理科,665,6,77
2019,山西,理科,664,8,85
2019,山西,理科,663,11,96
2019,山西,理科,662,8,104
2019,山西,理科,661,8,112
2019,山西,理科,660,10,122
2019,山西,理科,659,14,136
2019,山西,理科,658,9,145
2019,山西,理科,657,17,162
2019,山西,理科,656,17,179
2019,山西,理科,655,15,194
2019,山西,理科,654,17,211
2019,山西,理科,653,17,228
2019,山西,理科,652,17,245
2019,山西,理科,651,15,260
2019,山西,理科,650,19,279
2019,山西,理科,649,16,295
2019,山西,理科,648,21,316
2019,山西,理科,647,29,345
2019,山西,理科,646,22,367
2019,山西,理科,645,20,387
2019,山西,理科,644,25,412
2019,山西,理科,643,24,436
2019,山西,理科,642,33,469
2019,山西,理科,641,33,502
2019,山西,理科,640,35,537
2019,山西,理科,639,32,569
2019,山西,文科,638,4,13
2019,山西,理科,638,41,610
2019,山西,理科,637,40,650
2019,山西,理科,636,40,690
2019,山西,理科,635,47,737
2019,山西,文科,635,4,17
2019,山西,理科,634,50,787
2019,山西,文科,634,4,21
2019,山西,理科,633,43,830
2019,山西,文科,633,3,24
2019,山西,理科,632,46,876
2019,山西,文科,632,2,26
2019,山西,理科,631,53,929
2019,山西,文科,631,6,32
2019,山西,文科,630,4,36
2019,山西,文科,630,4,36
2019,山西,文科,629,3,39
2019,山西,理科,629,41,1013
2019,山西,理科,628,55,1068
2019,山西,文科,628,9,48
2019,山西,理科,627,56,1124
2019,山西,文科,627,1,49
2019,山西,文科,626,2,51
2019,山西,理科,626,53,1177
2019,山西,文科,625,6,57
2019,山西,理科,625,56,1233
2019,山西,文科,624,8,65
2019,山西,理科,624,61,1294
2019,山西,文科,623,6,71
2019,山西,理科,623,53,1347
2019,山西,文科,622,4,75
2019,山西,理科,622,60,1407
2019,山西,文科,621,4,79
2019,山西,理科,621,58,1465
2019,山西,文科,620,8,87
2019,山西,理科,620,67,1532
2019,山西,文科,619,13,100
2019,山西,理科,619,88,1620
2019,山西,文科,618,7,107
2019,山西,理科,618,82,1702
2019,山西,文科,617,9,116
2019,山西,理科,617,95,1797
2019,山西,文科,616,11,127
2019,山西,理科,616,81,1878
2019,山西,文科,615,8,135
2019,山西,理科,615,78,1956
2019,山西,文科,614,7,142
2019,山西,理科,614,102,2058
2019,山西,文科,613,9,151
2019,山西,理科,613,104,2162
2019,山西,文科,612,10,161
2019,山西,理科,612,92,2254
2019,山西,文科,611,9,170
2019,山西,理科,611,96,2350
2019,山西,文科,610,21,191
2019,山西,理科,610,106,2456
2019,山西,文科,609,14,205
2019,山西,理科,609,121,2577
2019,山西,文科,608,23,228
2019,山西,理科,608,90,2667
2019,山西,文科,607,17,245
2019,山西,理科,607,104,2771
2019,山西,文科,606,24,269
2019,山西,理科,606,106,2877
2019,山西,文科,605,24,293
2019,山西,理科,605,104,2981
2019,山西,文科,604,20,313
2019,山西,理科,604,103,3084
2019,山西,文科,603,23,336
2019,山西,理科,603,113,3197
2019,山西,文科,602,17,353
2019,山西,理科,602,112,3309
2019,山西,文科,601,15,368
2019,山西,理科,601,127,3436
2019,山西,文科,600,31,399
2019,山西,理科,600,126,3562
2019,山西,文科,599,23,422
2019,山西,理科,599,132,3694
2019,山西,文科,598,35,457
2019,山西,理科,598,143,3837
2019,山西,文科,597,27,484
2019,山西,理科,597,128,3965
2019,山西,文科,596,26,510
2019,山西,理科,596,130,4095
2019,山西,文科,595,31,541
2019,山西,理科,595,144,4239
2019,山西,文科,594,43,584
2019,山西,理科,594,136,4375
2019,山西,文科,593,40,624
2019,山西,理科,593,160,4535
2019,山西,文科,592,38,662
2019,山西,理科,592,177,4712
2019,山西,文科,591,37,699
2019,山西,理科,591,156,4868
2019,山西,文科,590,28,727
2019,山西,理科,590,180,5048
2019,山西,文科,589,47,774
2019,山西,理科,589,154,5202
2019,山西,文科,588,42,816
2019,山西,理科,588,160,5362
2019,山西,文科,587,47,863
2019,山西,理科,587,146,5508
2019,山西,文科,586,50,913
2019,山西,理科,586,155,5663
2019,山西,文科,585,43,956
2019,山西,理科,585,178,5841
2019,山西,文科,584,46,1002
2019,山西,理科,584,159,6000
2019,山西,文科,583,63,1065
2019,山西,理科,583,175,6175
2019,山西,文科,582,52,1117
2019,山西,理科,582,159,6334
2019,山西,文科,581,66,1183
2019,山西,理科,581,190,6524
2019,山西,文科,580,46,1229
2019,山西,理科,580,219,6743
2019,山西,文科,579,66,1295
2019,山西,理科,579,199,6942
2019,山西,文科,578,59,1354
2019,山西,理科,578,225,7167
2019,山西,文科,577,62,1416
2019,山西,理科,577,209,7376
2019,山西,文科,576,64,1480
2019,山西,理科,576,204,7580
2019,山西,文科,575,68,1548
2019,山西,理科,575,212,7792
2019,山西,文科,574,81,1629
2019,山西,理科,574,207,7999
2019,山西,文科,573,71,1700
2019,山西,理科,573,185,8184
2019,山西,文科,572,90,1790
2019,山西,理科,572,254,8438
2019,山西,文科,571,96,1886
2019,山西,理科,571,224,8662
2019,山西,文科,570,85,1971
2019,山西,理科,570,235,8897
2019,山西,文科,569,105,2076
2019,山西,理科,569,233,9130
2019,山西,文科,568,94,2170
2019,山西,理科,568,225,9355
2019,山西,文科,567,93,2263
2019,山西,理科,567,238,9593
2019,山西,文科,566,98,2361
2019,山西,理科,566,249,9842
2019,山西,文科,565,115,2476
2019,山西,理科,565,238,10080
2019,山西,文科,564,117,2593
2019,山西,理科,564,224,10304
2019,山西,文科,563,95,2688
2019,山西,理科,563,248,10552
2019,山西,文科,562,104,2792
2019,山西,理科,562,268,10820
2019,山西,文科,561,133,2925
2019,山西,理科,561,254,11074
2019,山西,文科,560,110,3035
2019,山西,理科,560,283,11357
2019,山西,文科,559,136,3171
2019,山西,理科,559,282,11639
2019,山西,文科,558,117,3288
2019,山西,理科,558,259,11898
2019,山西,文科,557,150,3438
2019,山西,理科,557,290,12188
2019,山西,文科,556,122,3560
2019,山西,理科,556,300,12488
2019,山西,文科,555,120,3680
2019,山西,理科,555,318,12806
2019,山西,文科,554,131,3811
2019,山西,理科,554,321,13127
2019,山西,文科,553,138,3949
2019,山西,理科,553,290,13417
2019,山西,文科,552,150,4099
2019,山西,理科,552,301,13718
2019,山西,文科,551,162,4261
2019,山西,理科,551,308,14026
2019,山西,文科,550,147,4408
2019,山西,理科,550,297,14323
2019,山西,文科,549,178,4586
2019,山西,理科,549,306,14629
2019,山西,文科,548,158,4744
2019,山西,理科,548,313,14942
2019,山西,文科,547,169,4913
2019,山西,理科,547,352,15294
2019,山西,文科,546,132,5045
2019,山西,理科,546,339,15633
2019,山西,文科,545,184,5229
2019,山西,理科,545,358,15991
2019,山西,文科,544,172,5401
2019,山西,理科,544,320,16311
2019,山西,文科,543,174,5575
2019,山西,理科,543,329,16640
2019,山西,文科,542,179,5754
2019,山西,理科,542,352,16992
2019,山西,文科,541,186,5940
2019,山西,理科,541,333,17325
2019,山西,文科,540,186,6126
2019,山西,理科,540,375,17700
