年份,考生所在地,考生类别,分数段,本段人数,累计人数
2019,广东,理科,691分及以上,22,22
2019,广东,理科,690,6,28
2019,广东,理科,689,4,32
2019,广东,理科,688,3,35
2019,广东,理科,687,1,36
2019,广东,理科,686,1,37
2019,广东,理科,685,6,43
2019,广东,理科,684,7,50
2019,广东,理科,683,3,53
2019,广东,理科,682,10,63
2019,广东,理科,681,8,71
2019,广东,理科,680,5,76
2019,广东,理科,679,10,86
2019,广东,理科,678,10,96
2019,广东,理科,677,12,108
2019,广东,理科,676,10,118
2019,广东,理科,675,21,139
2019,广东,理科,674,10,149
2019,广东,理科,673,11,160
2019,广东,理科,672,19,179
2019,广东,理科,671,15,194
2019,广东,理科,670,24,218
2019,广东,理科,669,24,242
2019,广东,理科,668,15,257
2019,广东,理科,667,27,284
2019,广东,理科,666,25,309
2019,广东,理科,665,24,333
2019,广东,理科,664,36,369
2019,广东,理科,663,26,395
2019,广东,理科,662,33,428
2019,广东,理科,661,32,460
2019,广东,理科,660,27,487
2019,广东,理科,659,35,522
2019,广东,理科,658,33,555
2019,广东,理科,657,47,602
2019,广东,理科,656,35,637
2019,广东,理科,655,36,673
2019,广东,文科,655分及以上,22,22
2019,广东,理科,654,44,717
2019,广东,文科,654,3,25
2019,广东,理科,653,54,771
2019,广东,文科,653,3,28
2019,广东,文科,652,4,32
2019,广东,理科,652,49,820
2019,广东,理科,651,36,856
2019,广东,文科,651,2,34
2019,广东,理科,650,57,913
2019,广东,文科,650,3,37
2019,广东,理科,649,51,964
2019,广东,文科,649,3,40
2019,广东,文科,648,2,42
2019,广东,理科,648,67,1031
2019,广东,文科,647,4,46
2019,广东,理科,647,53,1084
2019,广东,文科,646,7,53
2019,广东,理科,646,70,1154
2019,广东,文科,645,6,59
2019,广东,理科,645,70,1224
2019,广东,文科,644,6,65
2019,广东,理科,644,69,1293
2019,广东,理科,643,81,1374
2019,广东,文科,643,8,73
2019,广东,理科,642,73,1447
2019,广东,文科,642,8,81
2019,广东,理科,641,70,1517
2019,广东,文科,641,12,93
2019,广东,文科,640,7,100
2019,广东,理科,640,62,1579
2019,广东,文科,639,13,113
2019,广东,理科,639,74,1653
2019,广东,文科,638,9,122
2019,广东,理科,638,88,1741
2019,广东,文科,637,9,131
2019,广东,理科,637,99,1840
2019,广东,文科,636,9,140
2019,广东,理科,636,88,1928
2019,广东,文科,635,7,147
2019,广东,理科,635,112,2040
2019,广东,文科,634,16,163
2019,广东,理科,634,101,2141
2019,广东,文科,633,23,186
2019,广东,理科,633,112,2253
2019,广东,文科,632,18,204
2019,广东,理科,632,119,2372
2019,广东,文科,631,22,226
2019,广东,理科,631,117,2489
2019,广东,文科,630,41,267
2019,广东,理科,630,117,2606
2019,广东,文科,629,27,294
2019,广东,理科,629,123,2729
2019,广东,文科,628,24,318
2019,广东,理科,628,112,2841
2019,广东,文科,627,28,346
2019,广东,理科,627,133,2974
2019,广东,文科,626,23,369
2019,广东,理科,626,137,3111
2019,广东,文科,625,47,416
2019,广东,理科,625,143,3254
2019,广东,文科,624,37,453
2019,广东,理科,624,116,3370
2019,广东,文科,623,33,486
2019,广东,理科,623,129,3499
2019,广东,文科,622,44,530
2019,广东,理科,622,154,3653
2019,广东,文科,621,49,579
2019,广东,理科,621,151,3804
2019,广东,文科,620,39,618
2019,广东,理科,620,150,3954
2019,广东,文科,619,39,657
2019,广东,理科,619,145,4099
2019,广东,文科,618,64,721
2019,广东,理科,618,149,4248
2019,广东,文科,617,52,773
2019,广东,理科,617,174,4422
2019,广东,文科,616,45,818
2019,广东,理科,616,193,4615
2019,广东,文科,615,65,883
2019,广东,理科,615,181,4796
2019,广东,文科,614,48,931
2019,广东,理科,614,179,4975
2019,广东,文科,613,71,1002
2019,广东,理科,613,184,5159
2019,广东,文科,612,59,1061
2019,广东,理科,612,177,5336
2019,广东,文科,611,60,1121
2019,广东,理科,611,201,5537
2019,广东,文科,610,67,1188
2019,广东,理科,610,211,5748
2019,广东,文科,609,97,1285
2019,广东,理科,609,226,5974
2019,广东,文科,608,78,1363
2019,广东,理科,608,225,6199
2019,广东,文科,607,64,1427
2019,广东,理科,607,200,6399
2019,广东,文科,606,93,1520
2019,广东,理科,606,222,6621
2019,广东,文科,605,71,1591
2019,广东,理科,605,213,6834
2019,广东,文科,604,85,1676
2019,广东,理科,604,236,7070
2019,广东,文科,603,112,1788
2019,广东,理科,603,232,7302
2019,广东,文科,602,123,1911
2019,广东,理科,602,236,7538
2019,广东,文科,601,101,2012
2019,广东,理科,601,247,7785
2019,广东,文科,600,138,2150
2019,广东,理科,600,234,8019
2019,广东,文科,599,131,2281
2019,广东,理科,599,254,8273
2019,广东,文科,598,134,2415
2019,广东,理科,598,279,8552
2019,广东,文科,597,132,2547
2019,广东,理科,597,306,8858
2019,广东,文科,596,136,2683
2019,广东,理科,596,256,9114
2019,广东,文科,595,159,2842
2019,广东,理科,595,277,9391
2019,广东,文科,594,158,3000
2019,广东,理科,594,273,9664
2019,广东,文科,593,156,3156
2019,广东,理科,593,274,9938
2019,广东,文科,592,193,3349
2019,广东,理科,592,277,10215
2019,广东,文科,591,147,3496
2019,广东,理科,591,295,10510
2019,广东,文科,590,185,3681
2019,广东,理科,590,324,10834
2019,广东,文科,589,176,3857
2019,广东,理科,589,314,11148
2019,广东,文科,588,204,4061
2019,广东,理科,588,300,11448
2019,广东,文科,587,199,4260
2019,广东,理科,587,348,11796
2019,广东,文科,586,212,4472
2019,广东,理科,586,334,12130
2019,广东,文科,585,247,4719
2019,广东,理科,585,330,12460
2019,广东,文科,584,217,4936
2019,广东,理科,584,390,12850
2019,广东,文科,583,232,5168
2019,广东,理科,583,389,13239
2019,广东,文科,582,252,5420
2019,广东,理科,582,366,13605
2019,广东,文科,581,262,5682
2019,广东,理科,581,374,13979
2019,广东,文科,580,262,5944
2019,广东,理科,580,392,14371
2019,广东,文科,579,231,6175
2019,广东,理科,579,400,14771
2019,广东,文科,578,274,6449
2019,广东,理科,578,418,15189
2019,广东,文科,577,280,6729
2019,广东,理科,577,387,15576
2019,广东,文科,576,309,7038
2019,广东,理科,576,397,15973
2019,广东,文科,575,316,7354
2019,广东,理科,575,441,16414
2019,广东,文科,574,310,7664
2019,广东,理科,574,419,16833
2019,广东,文科,573,339,8003
2019,广东,理科,573,461,17294
2019,广东,文科,572,319,8322
2019,广东,理科,572,452,17746
2019,广东,文科,571,346,8668
2019,广东,理科,571,452,18198
2019,广东,文科,570,338,9006
2019,广东,理科,570,488,18686
2019,广东,文科,569,380,9386
2019,广东,理科,569,445,19131
2019,广东,文科,568,386,9772
2019,广东,理科,568,499,19630
2019,广东,文科,567,392,10164
2019,广东,理科,567,482,20112
2019,广东,文科,566,389,10553
2019,广东,理科,566,493,20605
2019,广东,文科,565,394,10947
2019,广东,理科,565,480,21085
2019,广东,文科,564,430,11377
2019,广东,理科,564,503,21588
2019,广东,文科,563,412,11789
2019,广东,理科,563,538,22126
2019,广东,文科,562,426,12215
2019,广东,理科,562,555,22681
2019,广东,文科,561,477,12692
2019,广东,理科,561,524,23205
2019,广东,文科,560,463,13155
2019,广东,理科,560,555,23760
2019,广东,文科,559,453,13608
2019,广东,理科,559,549,24309
2019,广东,文科,558,459,14067
2019,广东,理科,558,579,24888
2019,广东,文科,557,506,14573
2019,广东,理科,557,570,25458
2019,广东,文科,556,511,15084
2019,广东,理科,556,584,26042
2019,广东,文科,555,492,15576
2019,广东,理科,555,578,26620
2019,广东,文科,554,532,16108
2019,广东,理科,554,578,27198
2019,广东,文科,553,577,16685
2019,广东,理科,553,597,27795
2019,广东,文科,552,480,17165
2019,广东,理科,552,578,28373
2019,广东,文科,551,565,17730
2019,广东,理科,551,607,28980
2019,广东,文科,550,586,18316
2019,广东,理科,550,589,29569
2019,广东,文科,549,557,18873
2019,广东,理科,549,615,30184
2019,广东,文科,548,588,19461
2019,广东,理科,548,625,30809
2019,广东,文科,547,599,20060
2019,广东,理科,547,707,31516
2019,广东,文科,546,642,20702
2019,广东,理科,546,630,32146
2019,广东,文科,545,615,21317
2019,广东,理科,545,697,32843
2019,广东,文科,544,628,21945
2019,广东,理科,544,676,33519
2019,广东,文科,543,658,22603
2019,广东,理科,543,693,34212
2019,广东,文科,542,626,23229
2019,广东,理科,542,665,34877
2019,广东,文科,541,642,23871
2019,广东,理科,541,704,35581
2019,广东,文科,540,670,24541
2019,广东,理科,540,707,36288
2019,广东,文科,539,702,25243
2019,广东,理科,539,705,36993
2019,广东,文科,538,710,25953
2019,广东,理科,538,740,37733
2019,广东,文科,537,655,26608
2019,广东,理科,537,737,38470
2019,广东,文科,536,705,27313
2019,广东,理科,536,728,39198
2019,广东,文科,535,690,28003
2019,广东,理科,535,750,39948
2019,广东,文科,534,761,28764
2019,广东,理科,534,760,40708
2019,广东,文科,533,707,29471
2019,广东,理科,533,763,41471
2019,广东,文科,532,712,30183
2019,广东,理科,532,760,42231
2019,广东,文科,531,714,30897
2019,广东,理科,531,714,42945
2019,广东,文科,530,729,31626
2019,广东,理科,530,827,43772
2019,广东,文科,529,779,32405
2019,广东,理科,529,789,44561
2019,广东,文科,528,741,33146
2019,广东,理科,528,792,45353
2019,广东,文科,527,739,33885
2019,广东,理科,527,768,46121
2019,广东,文科,526,812,34697
2019,广东,理科,526,838,46959
2019,广东,文科,525,813,35510
2019,广东,理科,525,837,47796
2019,广东,文科,524,838,36348
2019,广东,理科,524,845,48641
2019,广东,文科,523,818,37166
2019,广东,理科,523,928,49569
2019,广东,文科,522,848,38014
2019,广东,理科,522,888,50457
2019,广东,文科,521,808,38822
2019,广东,理科,521,865,51322
2019,广东,文科,520,840,39662
2019,广东,理科,520,890,52212
2019,广东,文科,519,844,40506
2019,广东,理科,519,899,53111
2019,广东,文科,518,856,41362
2019,广东,理科,518,940,54051
2019,广东,文科,517,902,42264
2019,广东,理科,517,912,54963
2019,广东,文科,516,866,43130
2019,广东,理科,516,910,55873
2019,广东,文科,515,885,44015
2019,广东,理科,515,928,56801
2019,广东,文科,514,856,44871
2019,广东,理科,514,918,57719
2019,广东,文科,513,933,45804
2019,广东,理科,513,946,58665
2019,广东,文科,512,825,46629
2019,广东,理科,512,1038,59703
2019,广东,文科,511,900,47529
2019,广东,理科,511,1008,60711
2019,广东,文科,510,960,48489
2019,广东,理科,510,949,61660
2019,广东,文科,509,887,49376
2019,广东,理科,509,938,62598
2019,广东,文科,508,925,50301
2019,广东,理科,508,970,63568
2019,广东,文科,507,943,51244
2019,广东,理科,507,1006,64574
2019,广东,文科,506,965,52209
2019,广东,理科,506,941,65515
2019,广东,文科,505,908,53117
2019,广东,理科,505,1018,66533
2019,广东,文科,504,932,54049
2019,广东,理科,504,990,67523
2019,广东,文科,503,930,54979
2019,广东,理科,503,1021,68544
2019,广东,文科,502,1000,55979
2019,广东,理科,502,988,69532
2019,广东,文科,501,1005,56984
2019,广东,理科,501,1075,70607
2019,广东,文科,500,993,57977
2019,广东,理科,500,1075,71682
2019,广东,文科,499,997,58974
2019,广东,理科,499,1113,72795
2019,广东,文科,498,978,59952
2019,广东,理科,498,1052,73847
2019,广东,文科,497,1028,60980
2019,广东,理科,497,1013,74860
2019,广东,文科,496,1025,62005
2019,广东,理科,496,1094,75954
2019,广东,文科,495,988,62993
2019,广东,理科,495,1102,77056
2019,广东,文科,494,998,63991
2019,广东,理科,494,1110,78166
2019,广东,文科,493,1041,65032
2019,广东,理科,493,1097,79263
2019,广东,文科,492,1027,66059
2019,广东,理科,492,1100,80363
2019,广东,文科,491,1032,67091
2019,广东,理科,491,1156,81519
2019,广东,文科,490,985,68076
2019,广东,理科,490,1146,82665
2019,广东,文科,489,1056,69132
2019,广东,理科,489,1130,83795
2019,广东,文科,488,1084,70216
2019,广东,理科,488,1168,84963
2019,广东,文科,487,1021,71237
2019,广东,理科,487,1062,86025
2019,广东,文科,486,1058,72295
2019,广东,理科,486,1165,87190
2019,广东,文科,485,1137,73432
2019,广东,理科,485,1203,88393
2019,广东,文科,484,1129,74561
2019,广东,理科,484,1050,89443
2019,广东,文科,483,1042,75603
2019,广东,理科,483,1188,90631
2019,广东,文科,482,1049,76652
2019,广东,理科,482,1168,91799
2019,广东,文科,481,1066,77718
2019,广东,理科,481,1189,92988
2019,广东,文科,480,1102,78820
2019,广东,理科,480,1197,94185
2019,广东,文科,479,1080,79900
2019,广东,理科,479,1209,95394
2019,广东,文科,478,1056,80956
2019,广东,理科,478,1126,96520
2019,广东,文科,477,1056,82012
2019,广东,理科,477,1241,97761
2019,广东,文科,476,1086,83098
2019,广东,理科,476,1182,98943
2019,广东,文科,475,1101,84199
2019,广东,理科,475,1205,100148
2019,广东,文科,474,1070,85269
2019,广东,理科,474,1230,101378
2019,广东,文科,473,1118,86387
2019,广东,理科,473,1183,102561
2019,广东,文科,472,1134,87521
2019,广东,理科,472,1189,103750
2019,广东,文科,471,1115,88636
2019,广东,理科,471,1227,104977
2019,广东,文科,470,1119,89755
2019,广东,理科,470,1260,106237
2019,广东,文科,469,1136,90891
2019,广东,理科,469,1241,107478
2019,广东,文科,468,1083,91974
2019,广东,理科,468,1210,108688
2019,广东,文科,467,1153,93127
