年份,考生所在地,考生类别,分数段,本段人数,累计人数
2019,广西,理科,710,3,13
2019,广西,理科,709,3,16
2019,广西,理科,708,1,17
2019,广西,理科,707,1,18
2019,广西,理科,706,3,21
2019,广西,理科,704,2,23
2019,广西,理科,703,2,25
2019,广西,理科,702,3,28
2019,广西,理科,701,4,32
2019,广西,理科,700,4,36
2019,广西,理科,699,6,42
2019,广西,理科,698,4,46
2019,广西,理科,697,9,55
2019,广西,理科,696,3,58
2019,广西,理科,695,5,63
2019,广西,理科,694,13,76
2019,广西,理科,693,3,79
2019,广西,理科,692,8,87
2019,广西,理科,691,5,92
2019,广西,理科,690,12,104
2019,广西,理科,689,6,110
2019,广西,理科,688,16,126
2019,广西,理科,687,9,135
2019,广西,理科,686,9,144
2019,广西,理科,685,19,163
2019,广西,理科,684,19,182
2019,广西,理科,683,22,204
2019,广西,理科,682,18,222
2019,广西,理科,681,17,239
2019,广西,理科,680,16,255
2019,广西,理科,679,9,264
2019,广西,理科,678,21,285
2019,广西,理科,677,18,303
2019,广西,理科,676,22,325
2019,广西,理科,675,21,346
2019,广西,理科,674,25,371
2019,广西,理科,673,29,400
2019,广西,理科,672,25,425
2019,广西,理科,671,32,457
2019,广西,理科,670,33,490
2019,广西,理科,669,39,529
2019,广西,理科,668,29,558
2019,广西,理科,667,37,595
2019,广西,理科,666,33,628
2019,广西,理科,665,28,656
2019,广西,理科,664,36,692
2019,广西,理科,663,35,727
2019,广西,理科,662,37,764
2019,广西,文科,662,1,11
2019,广西,理科,661,46,810
2019,广西,理科,660,63,873
2019,广西,文科,660,1,12
2019,广西,文科,659,1,13
2019,广西,理科,659,46,919
2019,广西,文科,658,2,15
2019,广西,理科,658,43,962
2019,广西,文科,657,4,19
2019,广西,理科,657,51,1013
2019,广西,文科,656,2,21
2019,广西,理科,656,60,1073
2019,广西,理科,655,64,1137
2019,广西,文科,654,2,23
2019,广西,理科,654,71,1208
2019,广西,理科,653,67,1275
2019,广西,理科,652,56,1331
2019,广西,理科,651,62,1393
2019,广西,文科,651,4,27
2019,广西,理科,650,69,1462
2019,广西,文科,650,4,31
2019,广西,文科,649,7,38
2019,广西,理科,649,68,1530
2019,广西,文科,648,4,42
2019,广西,理科,648,73,1603
2019,广西,文科,647,5,47
2019,广西,理科,647,91,1694
2019,广西,文科,646,1,48
2019,广西,理科,646,75,1769
2019,广西,文科,645,3,51
2019,广西,理科,645,83,1852
2019,广西,文科,644,1,52
2019,广西,文科,644,1,52
2019,广西,文科,643,8,60
2019,广西,理科,643,67,1990
2019,广西,理科,642,83,2073
