年份,考生所在地,考生类别,分数段,本段人数,累计人数
2019,江苏,理科,426分及以上,37,37
2019,江苏,理科,425,8,45
2019,江苏,理科,424,10,55
2019,江苏,理科,423,4,59
2019,江苏,理科,422,12,71
2019,江苏,理科,421,12,83
2019,江苏,理科,420,17,100
2019,江苏,理科,419,13,113
2019,江苏,理科,418,22,135
2019,江苏,理科,417,28,163
2019,江苏,理科,416,25,188
2019,江苏,理科,415,28,216
2019,江苏,理科,414,48,264
2019,江苏,理科,413,52,316
2019,江苏,理科,412,62,378
2019,江苏,理科,411,51,429
2019,江苏,文科,411分及以上,20,20
2019,江苏,理科,410,90,519
2019,江苏,文科,410,5,25
2019,江苏,文科,409,4,29
2019,江苏,文科,409,4,29
2019,江苏,理科,408,101,696
2019,江苏,文科,408,7,36
2019,江苏,理科,407,104,800
2019,江苏,文科,407,6,42
2019,江苏,理科,406,119,919
2019,江苏,文科,406,18,60
2019,江苏,理科,405,133,1052
2019,江苏,文科,405,8,68
2019,江苏,理科,404,154,1206
2019,江苏,文科,404,13,81
2019,江苏,理科,403,157,1363
2019,江苏,文科,403,15,96
2019,江苏,文科,402,15,111
2019,江苏,理科,402,201,1564
2019,江苏,文科,401,16,127
2019,江苏,理科,401,206,1770
2019,江苏,文科,400,22,149
2019,江苏,理科,400,231,2001
2019,江苏,文科,399,19,168
2019,江苏,文科,399,19,168
2019,江苏,理科,398,260,2535
2019,江苏,文科,398,22,190
2019,江苏,文科,397,23,213
2019,江苏,理科,397,285,2820
2019,江苏,文科,396,27,240
2019,江苏,理科,396,313,3133
2019,江苏,文科,395,29,269
2019,江苏,理科,395,359,3492
2019,江苏,理科,394,404,3896
2019,江苏,文科,394,44,313
2019,江苏,理科,393,400,4296
2019,江苏,文科,393,47,360
2019,江苏,理科,392,433,4729
2019,江苏,文科,392,40,400
2019,江苏,理科,391,499,5228
2019,江苏,文科,391,51,451
2019,江苏,文科,390,60,511
2019,江苏,理科,390,542,5770
2019,江苏,文科,389,63,574
2019,江苏,文科,389,63,574
2019,江苏,文科,388,63,637
2019,江苏,理科,388,624,6927
2019,江苏,理科,387,618,7545
2019,江苏,文科,387,90,727
2019,江苏,理科,386,645,8190
2019,江苏,文科,386,76,803
2019,江苏,文科,385,72,875
2019,江苏,理科,385,718,8908
2019,江苏,文科,384,90,965
2019,江苏,理科,384,760,9668
2019,江苏,文科,383,108,1073
2019,江苏,理科,383,760,10428
2019,江苏,文科,382,108,1181
2019,江苏,理科,382,856,11284
2019,江苏,文科,381,102,1283
2019,江苏,理科,381,916,12200
2019,江苏,文科,380,122,1405
2019,江苏,理科,380,908,13108
2019,江苏,文科,379,121,1526
2019,江苏,理科,379,1005,14113
2019,江苏,文科,378,141,1667
2019,江苏,理科,378,1023,15136
2019,江苏,文科,377,149,1816
2019,江苏,理科,377,1077,16213
2019,江苏,文科,376,159,1975
2019,江苏,理科,376,1174,17387
2019,江苏,文科,375,186,2161
2019,江苏,理科,375,1199,18586
2019,江苏,文科,374,198,2359
2019,江苏,理科,374,1261,19847
2019,江苏,文科,373,199,2558
2019,江苏,理科,373,1224,21071
2019,江苏,文科,372,196,2754
2019,江苏,理科,372,1259,22330
2019,江苏,文科,371,209,2963
2019,江苏,理科,371,1425,23755
2019,江苏,文科,370,238,3201
2019,江苏,理科,370,1448,25203
2019,江苏,文科,369,275,3476
2019,江苏,理科,369,1423,26626
2019,江苏,文科,368,248,3724
2019,江苏,理科,368,1522,28148
2019,江苏,文科,367,255,3979
2019,江苏,理科,367,1483,29631
2019,江苏,文科,366,265,4244
2019,江苏,理科,366,1645,31276
2019,江苏,文科,365,281,4525
2019,江苏,理科,365,1632,32908
2019,江苏,文科,364,358,4883
2019,江苏,理科,364,1689,34597
2019,江苏,文科,363,337,5220
2019,江苏,理科,363,1852,36449
2019,江苏,文科,362,339,5559
2019,江苏,理科,362,1833,38282
2019,江苏,文科,361,374,5933
2019,江苏,理科,361,1893,40175
2019,江苏,文科,360,338,6271
2019,江苏,理科,360,1862,42037
2019,江苏,文科,359,404,6675
2019,江苏,理科,359,1974,44011
2019,江苏,文科,358,448,7123
2019,江苏,理科,358,2024,46035
2019,江苏,文科,357,401,7524
2019,江苏,理科,357,2007,48042
2019,江苏,文科,356,410,7934
2019,江苏,理科,356,1981,50023
2019,江苏,文科,355,488,8422
2019,江苏,理科,355,2076,52099
2019,江苏,文科,354,470,8892
2019,江苏,理科,354,2091,54190
2019,江苏,文科,353,503,9395
2019,江苏,理科,353,2173,56363
2019,江苏,文科,352,506,9901
2019,江苏,理科,352,2142,58505
2019,江苏,文科,351,506,10407
2019,江苏,理科,351,2204,60709
2019,江苏,文科,350,496,10903
2019,江苏,理科,350,2254,62963
2019,江苏,文科,349,559,11462
2019,江苏,理科,349,2264,65227
2019,江苏,文科,348,540,12002
2019,江苏,理科,348,2223,67450
2019,江苏,文科,347,551,12553
2019,江苏,理科,347,2260,69710
2019,江苏,文科,346,625,13178
2019,江苏,理科,346,2273,71983
2019,江苏,文科,345,621,13799
2019,江苏,理科,345,2275,74258
2019,江苏,文科,344,603,14402
2019,江苏,理科,344,2273,76531
2019,江苏,文科,343,627,15029
2019,江苏,理科,343,2254,78785
2019,江苏,文科,342,640,15669
2019,江苏,理科,342,2311,81096
2019,江苏,文科,341,640,16309
2019,江苏,理科,341,2348,83444
2019,江苏,文科,340,652,16961
2019,江苏,理科,340,2260,85704
2019,江苏,文科,339,633,17594
2019,江苏,理科,339,2273,87977
2019,江苏,文科,338,684,18278
2019,江苏,理科,338,2277,90254
2019,江苏,文科,337,721,18999
2019,江苏,理科,337,2231,92485
2019,江苏,文科,336,725,19724
2019,江苏,理科,336,2216,94701
2019,江苏,文科,335,721,20445
2019,江苏,理科,335,2240,96941
2019,江苏,文科,334,696,21141
2019,江苏,理科,334,2238,99179
2019,江苏,文科,333,738,21879
2019,江苏,理科,333,2210,101389
2019,江苏,文科,332,736,22615
2019,江苏,理科,332,2231,103620
2019,江苏,文科,331,711,23326
2019,江苏,理科,331,2139,105759
2019,江苏,文科,330,710,24036
2019,江苏,理科,330,2145,107904
2019,江苏,文科,329,726,24762
2019,江苏,理科,329,2019,109923
2019,江苏,文科,328,718,25480
2019,江苏,理科,328,2110,112033
