年份,考生所在地,考生类别,分数段,本段人数,累计人数
2019,江西,理科,687分及以上,21,21
2019,江西,理科,686,3,24
2019,江西,理科,685,4,28
2019,江西,理科,684,4,32
2019,江西,理科,683,4,36
2019,江西,理科,682,2,38
2019,江西,理科,681,7,45
2019,江西,理科,680,5,50
2019,江西,理科,679,4,54
2019,江西,理科,678,10,64
2019,江西,理科,677,9,73
2019,江西,理科,676,8,81
2019,江西,理科,675,10,91
2019,江西,理科,674,11,102
2019,江西,理科,673,9,111
2019,江西,理科,672,13,124
2019,江西,理科,671,14,138
2019,江西,理科,670,11,149
2019,江西,理科,669,16,165
2019,江西,理科,668,16,181
2019,江西,理科,667,11,192
2019,江西,理科,666,16,208
2019,江西,理科,665,28,236
2019,江西,理科,664,23,259
2019,江西,理科,663,21,280
2019,江西,理科,662,33,313
2019,江西,理科,661,39,352
2019,江西,理科,660,31,383
2019,江西,理科,659,30,413
2019,江西,理科,658,40,453
2019,江西,理科,657,39,492
2019,江西,理科,656,44,536
2019,江西,理科,655,40,576
2019,江西,理科,654,38,614
2019,江西,理科,653,47,661
2019,江西,理科,652,42,703
2019,江西,理科,651,54,757
2019,江西,理科,650,47,804
2019,江西,理科,649,43,847
2019,江西,理科,648,57,904
2019,江西,理科,647,65,969
2019,江西,文科,647分及以上,24,24
2019,江西,理科,646,58,1027
2019,江西,文科,646,5,29
2019,江西,理科,645,67,1094
2019,江西,文科,645,7,36
2019,江西,理科,644,55,1149
2019,江西,文科,644,6,42
2019,江西,文科,643,6,48
2019,江西,理科,643,55,1204
2019,江西,文科,642,10,58
2019,江西,理科,642,62,1266
2019,江西,理科,641,80,1346
2019,江西,文科,641,3,61
2019,江西,文科,640,10,71
2019,江西,理科,640,90,1436
2019,江西,理科,639,86,1522
2019,江西,文科,639,8,79
2019,江西,文科,638,9,88
2019,江西,理科,638,103,1625
2019,江西,文科,637,5,93
2019,江西,理科,637,79,1704
2019,江西,理科,636,96,1800
2019,江西,文科,636,8,101
2019,江西,文科,635,9,110
2019,江西,理科,635,81,1881
2019,江西,文科,634,11,121
2019,江西,理科,634,92,1973
2019,江西,理科,633,96,2069
2019,江西,文科,633,14,135
2019,江西,理科,632,94,2163
2019,江西,文科,632,19,154
2019,江西,理科,631,102,2265
2019,江西,文科,631,8,162
2019,江西,理科,630,106,2371
2019,江西,文科,630,13,175
2019,江西,理科,629,127,2498
2019,江西,文科,629,15,190
2019,江西,理科,628,121,2619
2019,江西,文科,628,18,208
2019,江西,文科,627,25,233
2019,江西,理科,627,121,2740
2019,江西,文科,626,18,251
2019,江西,理科,626,151,2891
2019,江西,文科,625,31,282
2019,江西,理科,625,131,3022
2019,江西,文科,624,21,303
2019,江西,理科,624,129,3151
2019,江西,文科,623,31,334
2019,江西,理科,623,133,3284
2019,江西,文科,622,25,359
2019,江西,理科,622,149,3433
2019,江西,文科,621,29,388
2019,江西,理科,621,140,3573
2019,江西,文科,620,50,438
2019,江西,理科,620,159,3732
2019,江西,文科,619,31,469
2019,江西,理科,619,145,3877
2019,江西,文科,618,37,506
2019,江西,理科,618,161,4038
2019,江西,文科,617,42,548
2019,江西,理科,617,147,4185
2019,江西,文科,616,40,588
2019,江西,理科,616,158,4343
2019,江西,文科,615,41,629
2019,江西,理科,615,168,4511
2019,江西,文科,614,44,673
2019,江西,理科,614,179,4690
2019,江西,文科,613,54,727
2019,江西,理科,613,190,4880
2019,江西,文科,612,47,774
2019,江西,理科,612,171,5051
2019,江西,文科,611,37,811
2019,江西,理科,611,158,5209
2019,江西,文科,610,41,852
2019,江西,理科,610,213,5422
2019,江西,文科,609,62,914
2019,江西,理科,609,205,5627
2019,江西,文科,608,57,971
2019,江西,理科,608,204,5831
2019,江西,理科,607,181,6012
2019,江西,文科,607,65,1036
2019,江西,理科,606,205,6217
2019,江西,文科,606,61,1097
2019,江西,理科,605,194,6411
2019,江西,文科,605,79,1176
2019,江西,文科,604,78,1254
2019,江西,理科,604,184,6595
2019,江西,理科,603,241,6836
2019,江西,文科,603,86,1340
2019,江西,文科,602,80,1420
2019,江西,理科,602,238,7074
2019,江西,理科,601,218,7292
2019,江西,文科,601,86,1506
2019,江西,理科,600,213,7505
2019,江西,文科,600,77,1583
2019,江西,理科,599,225,7730
2019,江西,文科,599,93,1676
2019,江西,理科,598,221,7951
2019,江西,文科,598,105,1781
2019,江西,文科,597,95,1876
2019,江西,理科,597,256,8207
2019,江西,文科,596,98,1974
