年份,考生所在地,考生类别,分数段,本段人数,累计人数
2019,河南,理科,697,11,11
2019,河南,理科,696,2,13
2019,河南,理科,695,3,16
2019,河南,理科,694,5,21
2019,河南,理科,693,5,26
2019,河南,理科,692,4,30
2019,河南,理科,691,2,32
2019,河南,理科,690,5,37
2019,河南,理科,689,8,45
2019,河南,理科,688,3,48
2019,河南,理科,687,5,53
2019,河南,理科,686,13,66
2019,河南,理科,685,17,83
2019,河南,理科,684,13,96
2019,河南,理科,683,16,112
2019,河南,理科,682,9,121
2019,河南,理科,681,21,142
2019,河南,理科,680,15,157
2019,河南,理科,679,16,173
2019,河南,理科,678,21,194
2019,河南,理科,677,26,220
2019,河南,理科,676,28,248
2019,河南,理科,675,23,271
2019,河南,理科,674,25,296
2019,河南,理科,673,35,331
2019,河南,理科,672,33,364
2019,河南,理科,671,50,414
2019,河南,理科,670,41,455
2019,河南,理科,669,41,496
2019,河南,理科,668,31,527
2019,河南,理科,667,47,574
2019,河南,理科,666,38,612
2019,河南,理科,665,48,660
2019,河南,理科,664,63,723
2019,河南,理科,663,58,781
2019,河南,理科,662,58,839
2019,河南,理科,661,54,893
2019,河南,理科,660,77,970
2019,河南,理科,659,62,1032
2019,河南,理科,658,83,1115
2019,河南,文科,657,12,12
2019,河南,理科,657,71,1186
2019,河南,理科,656,89,1275
2019,河南,文科,656,2,14
2019,河南,理科,655,97,1372
2019,河南,文科,655,10,24
2019,河南,文科,654,3,27
2019,河南,理科,654,93,1465
2019,河南,理科,653,119,1584
2019,河南,文科,653,3,30
2019,河南,理科,652,105,1689
2019,河南,文科,652,1,31
2019,河南,文科,651,9,40
2019,河南,理科,651,112,1801
2019,河南,理科,650,98,1899
2019,河南,文科,650,1,41
2019,河南,理科,649,113,2012
2019,河南,文科,649,5,46
2019,河南,理科,648,101,2113
2019,河南,文科,648,5,51
2019,河南,理科,647,117,2230
2019,河南,文科,647,1,52
2019,河南,理科,646,128,2358
2019,河南,文科,646,5,57
2019,河南,文科,645,5,62
2019,河南,理科,645,139,2497
2019,河南,文科,644,3,65
2019,河南,理科,644,141,2638
2019,河南,理科,643,145,2783
2019,河南,文科,643,7,72
2019,河南,文科,642,6,78
2019,河南,理科,642,138,2921
2019,河南,理科,641,164,3085
2019,河南,文科,641,9,87
2019,河南,理科,640,157,3242
2019,河南,文科,640,7,94
2019,河南,理科,639,192,3434
2019,河南,文科,639,1,95
2019,河南,文科,638,17,112
2019,河南,理科,638,207,3641
2019,河南,文科,637,13,125
2019,河南,理科,637,171,3812
2019,河南,文科,636,18,143
2019,河南,理科,636,216,4028
2019,河南,文科,635,18,161
2019,河南,理科,635,213,4241
2019,河南,文科,634,20,181
2019,河南,理科,634,195,4436
2019,河南,文科,633,26,207
2019,河南,理科,633,215,4651
2019,河南,文科,632,17,224
2019,河南,理科,632,226,4877
2019,河南,文科,631,23,247
2019,河南,理科,631,227,5104
2019,河南,文科,630,16,263
2019,河南,理科,630,238,5342
2019,河南,文科,629,23,286
2019,河南,理科,629,230,5572
2019,河南,文科,628,23,309
2019,河南,理科,628,221,5793
2019,河南,文科,627,30,339
2019,河南,理科,627,254,6047
2019,河南,文科,626,27,366
2019,河南,理科,626,259,6306
2019,河南,文科,625,27,393
2019,河南,理科,625,268,6574
2019,河南,文科,624,38,431
2019,河南,理科,624,303,6877
2019,河南,文科,623,42,473
2019,河南,理科,623,289,7166
2019,河南,文科,622,50,523
2019,河南,理科,622,291,7457
2019,河南,文科,621,28,551
2019,河南,理科,621,300,7757
2019,河南,文科,620,42,593
2019,河南,理科,620,299,8056
2019,河南,文科,619,41,634
2019,河南,理科,619,315,8371
2019,河南,文科,618,43,677
2019,河南,理科,618,344,8715
2019,河南,理科,617,305,9020
2019,河南,文科,617,63,740
2019,河南,理科,616,375,9395
2019,河南,文科,616,46,786
2019,河南,理科,615,341,9736
2019,河南,文科,615,54,840
2019,河南,理科,614,342,10078
2019,河南,文科,614,53,893
2019,河南,理科,613,386,10464
2019,河南,文科,613,59,952
2019,河南,理科,612,384,10848
2019,河南,文科,612,54,1006
2019,河南,理科,611,371,11219
2019,河南,文科,611,60,1066
2019,河南,理科,610,396,11615
2019,河南,文科,610,53,1119
2019,河南,理科,609,400,12015
2019,河南,文科,609,73,1192
2019,河南,理科,608,420,12435
2019,河南,文科,608,71,1263
2019,河南,文科,607,71,1334
2019,河南,理科,607,423,12858
2019,河南,文科,606,88,1422
2019,河南,理科,606,421,13279
2019,河南,文科,605,79,1501
2019,河南,理科,605,446,13725
2019,河南,文科,604,81,1582
2019,河南,理科,604,464,14189
2019,河南,文科,603,88,1670
2019,河南,理科,603,440,14629
