年份,考生所在地,考生类别,分数段,本段人数,累计人数
2019,浙江,综合,695分及以上,32,330
2019,浙江,综合,694,38,368
2019,浙江,综合,693,53,421
2019,浙江,综合,692,59,480
2019,浙江,综合,691,50,530
2019,浙江,综合,690,79,609
2019,浙江,综合,689,73,682
2019,浙江,综合,688,85,767
2019,浙江,综合,687,77,844
2019,浙江,综合,686,80,924
2019,浙江,综合,685,86,1010
2019,浙江,综合,684,90,1100
2019,浙江,综合,683,103,1203
2019,浙江,综合,682,122,1325
2019,浙江,综合,681,128,1453
2019,浙江,综合,680,113,1566
2019,浙江,综合,679,171,1737
2019,浙江,综合,678,138,1875
2019,浙江,综合,677,133,2008
2019,浙江,综合,676,165,2173
2019,浙江,综合,675,186,2359
2019,浙江,综合,674,201,2560
2019,浙江,综合,673,204,2764
2019,浙江,综合,672,215,2979
2019,浙江,综合,671,194,3173
2019,浙江,综合,670,184,3357
2019,浙江,综合,669,220,3577
2019,浙江,综合,668,253,3830
2019,浙江,综合,667,277,4107
2019,浙江,综合,666,253,4360
2019,浙江,综合,665,294,4654
2019,浙江,综合,664,269,4923
2019,浙江,综合,663,318,5241
2019,浙江,综合,662,303,5544
2019,浙江,综合,661,306,5850
2019,浙江,综合,660,341,6191
2019,浙江,综合,659,343,6534
2019,浙江,综合,658,364,6898
2019,浙江,综合,657,387,7285
2019,浙江,综合,656,341,7626
2019,浙江,综合,655,392,8018
2019,浙江,综合,654,410,8428
2019,浙江,综合,653,428,8856
2019,浙江,综合,652,409,9265
2019,浙江,综合,651,453,9718
2019,浙江,综合,650,486,10204
2019,浙江,综合,649,470,10674
2019,浙江,综合,648,460,11134
2019,浙江,综合,647,456,11590
2019,浙江,综合,646,517,12107
2019,浙江,综合,645,524,12631
2019,浙江,综合,644,522,13153
2019,浙江,综合,643,501,13654
2019,浙江,综合,642,544,14198
2019,浙江,综合,641,573,14771
2019,浙江,综合,640,618,15389
2019,浙江,综合,639,541,15930
2019,浙江,综合,638,599,16529
2019,浙江,综合,637,639,17168
2019,浙江,综合,636,599,17767
2019,浙江,综合,635,645,18412
2019,浙江,综合,634,672,19084
2019,浙江,综合,633,648,19732
2019,浙江,综合,632,663,20395
2019,浙江,综合,631,681,21076
2019,浙江,综合,630,699,21775
2019,浙江,综合,629,695,22470
2019,浙江,综合,628,732,23202
2019,浙江,综合,627,737,23939
2019,浙江,综合,626,760,24699
2019,浙江,综合,625,776,25475
2019,浙江,综合,624,763,26238
2019,浙江,综合,623,778,27016
2019,浙江,综合,622,763,27779
2019,浙江,综合,621,868,28647
2019,浙江,综合,620,800,29447
2019,浙江,综合,619,877,30324
2019,浙江,综合,618,839,31163
2019,浙江,综合,617,879,32042
2019,浙江,综合,616,872,32914
2019,浙江,综合,615,921,33835
2019,浙江,综合,614,844,34679
2019,浙江,综合,613,860,35539
2019,浙江,综合,612,912,36451
2019,浙江,综合,611,861,37312
2019,浙江,综合,610,930,38242
2019,浙江,综合,609,949,39191
2019,浙江,综合,608,1021,40212
2019,浙江,综合,607,976,41188
2019,浙江,综合,606,975,42163
2019,浙江,综合,605,962,43125
2019,浙江,综合,604,957,44082
2019,浙江,综合,603,994,45076
2019,浙江,综合,602,1017,46093
2019,浙江,综合,601,1019,47112
2019,浙江,综合,600,995,48107
2019,浙江,综合,599,1004,49111
2019,浙江,综合,598,1010,50121
2019,浙江,综合,597,1010,51131
2019,浙江,综合,596,1068,52199
2019,浙江,综合,595,1026,53225
2019,浙江,综合,594,1038,54263
2019,浙江,综合,593,1057,55320
2019,浙江,综合,592,1070,56390
2019,浙江,综合,591,1053,57443
2019,浙江,综合,590,1034,58477
2019,浙江,综合,589,1036,59513
2019,浙江,综合,588,1076,60589
2019,浙江,综合,587,1044,61633
2019,浙江,综合,586,1065,62698
2019,浙江,综合,585,1096,63794
2019,浙江,综合,584,1144,64938
2019,浙江,综合,583,1153,66091
2019,浙江,综合,582,1062,67153
2019,浙江,综合,581,1105,68258
2019,浙江,综合,580,1091,69349
2019,浙江,综合,579,1111,70460
2019,浙江,综合,578,1096,71556
2019,浙江,综合,577,1119,72675
2019,浙江,综合,576,1149,73824
2019,浙江,综合,575,1056,74880
2019,浙江,综合,574,1103,75983
2019,浙江,综合,573,1112,77095
2019,浙江,综合,572,1131,78226
2019,浙江,综合,571,1064,79290
2019,浙江,综合,570,1125,80415
2019,浙江,综合,569,1122,81537
2019,浙江,综合,568,1095,82632
2019,浙江,综合,567,1046,83678
2019,浙江,综合,566,1105,84783
2019,浙江,综合,565,1142,85925
2019,浙江,综合,564,1107,87032
2019,浙江,综合,563,1108,88140
2019,浙江,综合,562,1087,89227
2019,浙江,综合,561,1092,90319
2019,浙江,综合,560,1054,91373
2019,浙江,综合,559,1121,92494
2019,浙江,综合,558,1104,93598
2019,浙江,综合,557,1108,94706
2019,浙江,综合,556,1097,95803
2019,浙江,综合,555,1080,96883
2019,浙江,综合,554,1095,97978
2019,浙江,综合,553,1068,99046
2019,浙江,综合,552,1081,100127
2019,浙江,综合,551,1129,101256
2019,浙江,综合,550,1108,102364
2019,浙江,综合,549,1114,103478
2019,浙江,综合,548,1111,104589
2019,浙江,综合,547,1082,105671
2019,浙江,综合,546,1091,106762
2019,浙江,综合,545,1060,107822
2019,浙江,综合,544,1039,108861
2019,浙江,综合,543,1085,109946
2019,浙江,综合,542,1139,111085
2019,浙江,综合,541,1096,112181
2019,浙江,综合,540,1166,113347
2019,浙江,综合,539,1088,114435
2019,浙江,综合,538,1050,115485
2019,浙江,综合,537,1139,116624
2019,浙江,综合,536,1090,117714
2019,浙江,综合,535,1094,118808
2019,浙江,综合,534,1126,119934
2019,浙江,综合,533,1130,121064
2019,浙江,综合,532,1072,122136
2019,浙江,综合,531,1124,123260
2019,浙江,综合,530,1101,124361
2019,浙江,综合,529,1058,125419
2019,浙江,综合,528,1066,126485
2019,浙江,综合,527,1183,127668
2019,浙江,综合,526,1076,128744
2019,浙江,综合,525,1053,129797
2019,浙江,综合,524,1055,130852
2019,浙江,综合,523,1061,131913
2019,浙江,综合,522,1072,132985
2019,浙江,综合,521,1084,134069
2019,浙江,综合,520,1055,135124
2019,浙江,综合,519,1087,136211
2019,浙江,综合,518,1125,137336
2019,浙江,综合,517,1086,138422
2019,浙江,综合,516,1012,139434
2019,浙江,综合,515,1081,140515
2019,浙江,综合,514,1013,141528
2019,浙江,综合,513,1012,142540
2019,浙江,综合,512,1052,143592
2019,浙江,综合,511,1041,144633
2019,浙江,综合,510,996,145629
2019,浙江,综合,509,1002,146631
2019,浙江,综合,508,1036,147667
2019,浙江,综合,507,1002,148669
2019,浙江,综合,506,1088,149757
2019,浙江,综合,505,1009,150766
2019,浙江,综合,504,1066,151832
2019,浙江,综合,503,1027,152859
2019,浙江,综合,502,1052,153911
2019,浙江,综合,501,1065,154976
2019,浙江,综合,500,1000,155976
2019,浙江,综合,499,952,156928
2019,浙江,综合,498,976,157904
2019,浙江,综合,497,1013,158917
2019,浙江,综合,496,1004,159921
2019,浙江,综合,495,935,160856
2019,浙江,综合,494,969,161825
2019,浙江,综合,493,924,162749
2019,浙江,综合,492,924,163673
2019,浙江,综合,491,934,164607
2019,浙江,综合,490,948,165555
2019,浙江,综合,489,952,166507
2019,浙江,综合,488,937,167444
2019,浙江,综合,487,924,168368
2019,浙江,综合,486,896,169264
2019,浙江,综合,485,857,170121
2019,浙江,综合,484,921,171042
2019,浙江,综合,483,880,171922
2019,浙江,综合,482,912,172834
2019,浙江,综合,481,938,173772
2019,浙江,综合,480,834,174606
2019,浙江,综合,479,886,175492
2019,浙江,综合,478,856,176348
2019,浙江,综合,477,877,177225
2019,浙江,综合,476,901,178126
2019,浙江,综合,475,822,178948
2019,浙江,综合,474,829,179777
2019,浙江,综合,473,886,180663
2019,浙江,综合,472,821,181484
2019,浙江,综合,471,825,182309
2019,浙江,综合,470,798,183107
2019,浙江,综合,469,795,183902
2019,浙江,综合,468,772,184674
2019,浙江,综合,467,887,185561
2019,浙江,综合,466,835,186396
2019,浙江,综合,465,826,187222
2019,浙江,综合,464,774,187996
2019,浙江,综合,463,823,188819
2019,浙江,综合,462,738,189557
2019,浙江,综合,461,741,190298
2019,浙江,综合,460,757,191055
2019,浙江,综合,459,745,191800
2019,浙江,综合,458,740,192540
2019,浙江,综合,457,720,193260
2019,浙江,综合,456,714,193974
2019,浙江,综合,455,696,194670
2019,浙江,综合,454,730,195400
2019,浙江,综合,453,695,196095
2019,浙江,综合,452,699,196794
2019,浙江,综合,451,666,197460
2019,浙江,综合,450,704,198164
2019,浙江,综合,449,626,198790
2019,浙江,综合,448,704,199494
2019,浙江,综合,447,657,200151
2019,浙江,综合,446,679,200830
2019,浙江,综合,445,656,201486
2019,浙江,综合,444,618,202104
2019,浙江,综合,443,686,202790
2019,浙江,综合,442,676,203466
2019,浙江,综合,441,603,204069
2019,浙江,综合,440,584,204653
2019,浙江,综合,439,625,205278
2019,浙江,综合,438,631,205909
2019,浙江,综合,437,642,206551
2019,浙江,综合,436,618,207169
2019,浙江,综合,435,631,207800
2019,浙江,综合,434,566,208366
2019,浙江,综合,433,598,208964
2019,浙江,综合,432,559,209523
2019,浙江,综合,431,629,210152
2019,浙江,综合,430,574,210726
2019,浙江,综合,429,580,211306
2019,浙江,综合,428,538,211844
2019,浙江,综合,427,520,212364
2019,浙江,综合,426,545,212909
2019,浙江,综合,425,531,213440
2019,浙江,综合,424,512,213952
2019,浙江,综合,423,523,214475
2019,浙江,综合,422,497,214972
2019,浙江,综合,421,517,215489
2019,浙江,综合,420,527,216016
2019,浙江,综合,419,539,216555
2019,浙江,综合,418,506,217061
2019,浙江,综合,417,492,217553
2019,浙江,综合,416,529,218082
2019,浙江,综合,415,498,218580
2019,浙江,综合,414,496,219076
2019,浙江,综合,413,476,219552
2019,浙江,综合,412,492,220044
2019,浙江,综合,411,476,220520
2019,浙江,综合,410,508,221028
2019,浙江,综合,409,476,221504
2019,浙江,综合,408,434,221938
2019,浙江,综合,407,474,222412
2019,浙江,综合,406,428,222840
2019,浙江,综合,405,436,223276
2019,浙江,综合,404,421,223697
2019,浙江,综合,403,396,224093
2019,浙江,综合,402,388,224481
2019,浙江,综合,401,395,224876
2019,浙江,综合,400,422,225298
2019,浙江,综合,399,379,225677
2019,浙江,综合,398,396,226073
2019,浙江,综合,397,416,226489
2019,浙江,综合,396,402,226891
2019,浙江,综合,395,397,227288
2019,浙江,综合,394,375,227663
2019,浙江,综合,393,374,228037
2019,浙江,综合,392,346,228383
2019,浙江,综合,391,341,228724
2019,浙江,综合,390,353,229077
2019,浙江,综合,389,381,229458
2019,浙江,综合,388,348,229806
2019,浙江,综合,387,345,230151
2019,浙江,综合,386,348,230499
2019,浙江,综合,385,320,230819
2019,浙江,综合,384,316,231135
2019,浙江,综合,383,315,231450
2019,浙江,综合,382,337,231787
2019,浙江,综合,381,323,232110
2019,浙江,综合,380,317,232427
2019,浙江,综合,379,343,232770
2019,浙江,综合,378,303,233073
2019,浙江,综合,377,279,233352
2019,浙江,综合,376,293,233645
2019,浙江,综合,375,293,233938
2019,浙江,综合,374,281,234219
2019,浙江,综合,373,296,234515
2019,浙江,综合,372,278,234793
2019,浙江,综合,371,277,235070
2019,浙江,综合,370,296,235366
2019,浙江,综合,369,275,235641
2019,浙江,综合,368,279,235920
2019,浙江,综合,367,268,236188
2019,浙江,综合,366,257,236445
2019,浙江,综合,365,275,236720
2019,浙江,综合,364,253,236973
2019,浙江,综合,363,223,237196
2019,浙江,综合,362,242,237438
2019,浙江,综合,361,266,237704
2019,浙江,综合,360,229,237933
2019,浙江,综合,359,224,238157
2019,浙江,综合,358,242,238399
2019,浙江,综合,357,255,238654
2019,浙江,综合,356,229,238883
2019,浙江,综合,355,200,239083
2019,浙江,综合,354,215,239298
2019,浙江,综合,353,188,239486
2019,浙江,综合,352,198,239684
2019,浙江,综合,351,199,239883
2019,浙江,综合,350,203,240086
2019,浙江,综合,349,177,240263
2019,浙江,综合,348,185,240448
2019,浙江,综合,347,200,240648
2019,浙江,综合,346,190,240838
2019,浙江,综合,345,175,241013
2019,浙江,综合,344,193,241206
2019,浙江,综合,343,181,241387
