年份,考生所在地,考生类别,分数段,本段人数,累计人数
2019,海南,理科,939,1,1
2019,海南,文科,932,1,1
2019,海南,理科,927,1,2
2019,海南,理科,917,1,3
2019,海南,文科,915,1,2
2019,海南,理科,907,1,4
2019,海南,文科,905,1,3
2019,海南,理科,904,1,5
2019,海南,理科,898,1,6
2019,海南,文科,897,1,4
2019,海南,理科,895,1,7
2019,海南,文科,892,1,5
2019,海南,理科,891,1,8
2019,海南,理科,887,1,9
2019,海南,文科,886,1,6
2019,海南,理科,883,1,10
2019,海南,文科,883,1,7
2019,海南,理科,882,1,11
2019,海南,理科,879,1,12
2019,海南,文科,878,1,8
2019,海南,理科,876,1,13
2019,海南,文科,875,1,9
2019,海南,理科,875,1,14
2019,海南,文科,872,1,10
2019,海南,理科,872,2,16
2019,海南,理科,870,1,17
2019,海南,文科,870,1,11
2019,海南,理科,868,2,19
2019,海南,文科,867,1,12
2019,海南,理科,866,1,20
2019,海南,文科,865,1,13
2019,海南,理科,864,1,21
2019,海南,文科,863,1,14
2019,海南,理科,862,2,23
2019,海南,理科,861,1,24
2019,海南,文科,861,1,15
2019,海南,理科,859,2,26
2019,海南,文科,859,1,16
2019,海南,理科,858,1,27
2019,海南,文科,857,1,17
2019,海南,文科,857,1,17
2019,海南,文科,855,1,18
2019,海南,理科,855,1,29
2019,海南,理科,854,1,30
2019,海南,文科,854,1,19
2019,海南,理科,853,2,32
2019,海南,文科,852,1,20
2019,海南,理科,852,1,33
2019,海南,文科,851,1,21
2019,海南,理科,850,1,34
2019,海南,理科,849,2,36
2019,海南,文科,849,1,22
2019,海南,理科,847,3,39
2019,海南,文科,847,3,25
2019,海南,理科,846,1,40
2019,海南,理科,845,1,41
2019,海南,文科,844,1,26
2019,海南,文科,843,1,27
2019,海南,理科,843,2,43
2019,海南,文科,842,1,28
2019,海南,理科,842,2,45
2019,海南,理科,841,3,48
2019,海南,文科,840,2,30
2019,海南,文科,839,1,31
2019,海南,文科,838,1,32
2019,海南,理科,838,2,50
2019,海南,理科,837,2,52
2019,海南,理科,836,5,57
2019,海南,文科,836,1,33
2019,海南,理科,835,1,58
2019,海南,文科,835,2,35
2019,海南,理科,834,2,60
2019,海南,文科,834,2,37
2019,海南,理科,833,2,62
2019,海南,文科,833,1,38
2019,海南,理科,832,2,64
2019,海南,文科,832,1,39
2019,海南,理科,831,1,65
2019,海南,文科,831,2,41
2019,海南,理科,830,2,67
2019,海南,文科,829,1,42
2019,海南,理科,829,2,69
2019,海南,文科,828,2,44
2019,海南,理科,828,3,72
2019,海南,文科,827,2,46
2019,海南,理科,827,2,74
2019,海南,文科,826,2,48
2019,海南,理科,825,3,77
2019,海南,文科,824,3,51
2019,海南,理科,824,4,81
2019,海南,文科,823,1,52
2019,海南,理科,823,2,83
2019,海南,文科,822,2,54
2019,海南,理科,822,1,84
2019,海南,文科,821,1,55
2019,海南,理科,821,4,88
2019,海南,文科,820,2,57
2019,海南,理科,820,4,92
2019,海南,文科,819,2,59
2019,海南,文科,818,2,61
2019,海南,理科,818,4,96
2019,海南,文科,817,2,63
2019,海南,理科,817,4,100
2019,海南,文科,816,1,64
2019,海南,理科,816,3,103
2019,海南,文科,815,1,65
2019,海南,理科,815,4,107
2019,海南,文科,814,4,69
2019,海南,理科,814,1,108
2019,海南,文科,813,4,73
2019,海南,理科,813,4,112
2019,海南,文科,812,3,76
2019,海南,理科,812,6,118
2019,海南,理科,811,4,122
2019,海南,文科,810,1,77
2019,海南,理科,810,4,126
2019,海南,文科,809,5,82
2019,海南,理科,809,3,129
2019,海南,文科,808,3,85
2019,海南,理科,808,5,134
2019,海南,文科,807,3,88
2019,海南,理科,807,3,137
2019,海南,文科,806,2,90
2019,海南,理科,806,4,141
2019,海南,文科,805,2,92
2019,海南,理科,805,3,144
2019,海南,文科,804,4,96
2019,海南,理科,804,6,150
2019,海南,文科,803,4,100
2019,海南,理科,803,4,154
2019,海南,文科,802,1,101
2019,海南,理科,802,5,159
2019,海南,文科,801,3,104
2019,海南,理科,801,6,165
2019,海南,文科,800,2,106
2019,海南,理科,800,4,169
2019,海南,文科,799,3,109
2019,海南,理科,799,2,171
2019,海南,文科,798,2,111
2019,海南,理科,798,8,179
2019,海南,文科,797,5,116
2019,海南,理科,797,4,183
2019,海南,文科,796,3,119
2019,海南,理科,796,5,188
2019,海南,文科,795,3,122
2019,海南,理科,795,7,195
2019,海南,文科,794,5,127
2019,海南,理科,794,6,201
2019,海南,文科,793,5,132
2019,海南,理科,793,4,205
2019,海南,文科,792,2,134
2019,海南,理科,792,7,212
2019,海南,文科,791,3,137
2019,海南,理科,791,7,219
2019,海南,文科,790,5,142
2019,海南,理科,790,3,222
2019,海南,文科,789,5,147
2019,海南,理科,789,7,229
2019,海南,文科,788,4,151
2019,海南,理科,788,8,237
2019,海南,文科,787,7,158
2019,海南,理科,787,6,243
2019,海南,文科,786,3,161
2019,海南,理科,786,8,251
2019,海南,文科,785,3,164
2019,海南,理科,785,8,259
2019,海南,文科,784,4,168
2019,海南,理科,784,10,269
2019,海南,文科,783,2,170
2019,海南,理科,783,6,275
2019,海南,文科,782,7,177
2019,海南,理科,782,11,286
2019,海南,文科,781,5,182
2019,海南,理科,781,5,291
2019,海南,文科,780,7,189
2019,海南,理科,780,7,298
2019,海南,文科,779,3,192
