年份,考生所在地,考生类别,分数段,本段人数,累计人数
2019,湖北,理科,688,12,58
2019,湖北,理科,687,8,66
2019,湖北,理科,686,9,75
2019,湖北,理科,685,8,83
2019,湖北,理科,684,13,96
2019,湖北,理科,683,10,106
2019,湖北,理科,682,13,119
2019,湖北,理科,681,11,130
2019,湖北,理科,680,13,143
2019,湖北,理科,679,24,167
2019,湖北,理科,678,23,190
2019,湖北,理科,677,29,219
2019,湖北,理科,676,24,243
2019,湖北,理科,675,25,268
2019,湖北,理科,674,16,284
2019,湖北,理科,673,24,308
2019,湖北,理科,672,27,335
2019,湖北,理科,671,31,366
2019,湖北,理科,670,30,396
2019,湖北,理科,669,20,416
2019,湖北,理科,668,34,450
2019,湖北,理科,667,37,487
2019,湖北,理科,666,28,515
2019,湖北,理科,665,40,555
2019,湖北,理科,664,49,604
2019,湖北,理科,663,53,657
2019,湖北,理科,662,48,705
2019,湖北,理科,661,51,756
2019,湖北,理科,660,52,808
2019,湖北,理科,659,51,859
2019,湖北,理科,658,62,921
2019,湖北,理科,657,62,983
2019,湖北,理科,656,72,1055
2019,湖北,文科,655,2,16
2019,湖北,理科,655,75,1130
2019,湖北,文科,654,2,18
2019,湖北,理科,654,64,1194
2019,湖北,理科,653,67,1261
2019,湖北,理科,652,84,1345
2019,湖北,文科,652,3,21
2019,湖北,理科,651,85,1430
2019,湖北,文科,650,6,27
2019,湖北,理科,650,88,1518
2019,湖北,理科,649,93,1611
2019,湖北,文科,649,5,32
2019,湖北,理科,648,100,1711
2019,湖北,文科,648,2,34
2019,湖北,理科,647,89,1800
2019,湖北,文科,647,4,38
2019,湖北,理科,646,92,1892
2019,湖北,文科,646,3,41
2019,湖北,理科,645,102,1994
2019,湖北,文科,645,9,50
2019,湖北,理科,644,88,2082
2019,湖北,文科,644,8,58
2019,湖北,文科,643,7,65
2019,湖北,理科,643,107,2189
2019,湖北,文科,642,9,74
2019,湖北,理科,642,116,2305
2019,湖北,理科,641,112,2417
2019,湖北,理科,641,112,2417
2019,湖北,理科,640,102,2519
2019,湖北,文科,640,13,98
2019,湖北,理科,639,133,2652
2019,湖北,文科,639,3,101
2019,湖北,理科,638,121,2773
2019,湖北,文科,638,14,115
2019,湖北,理科,637,107,2880
2019,湖北,文科,637,9,124
2019,湖北,理科,636,117,2997
2019,湖北,文科,636,11,135
2019,湖北,理科,635,126,3123
2019,湖北,文科,635,20,155
2019,湖北,理科,634,145,3268
2019,湖北,文科,634,11,166
2019,湖北,理科,633,136,3404
2019,湖北,文科,633,12,178
2019,湖北,理科,632,154,3558
2019,湖北,文科,632,11,189
2019,湖北,理科,631,142,3700
2019,湖北,文科,631,20,209
2019,湖北,理科,630,152,3852
2019,湖北,文科,630,16,225
2019,湖北,理科,629,148,4000
2019,湖北,文科,629,18,243
2019,湖北,理科,628,145,4145
2019,湖北,文科,628,25,268
2019,湖北,文科,627,22,290
2019,湖北,理科,627,161,4306
2019,湖北,理科,626,171,4477
2019,湖北,文科,626,17,307
2019,湖北,理科,625,189,4666
2019,湖北,文科,625,19,326
2019,湖北,理科,624,182,4848
2019,湖北,文科,624,22,348
2019,湖北,理科,623,183,5031
2019,湖北,文科,623,30,378
2019,湖北,理科,622,208,5239
2019,湖北,文科,622,19,397
2019,湖北,理科,621,188,5427
2019,湖北,文科,621,33,430
2019,湖北,理科,620,175,5602
2019,湖北,文科,620,30,460
2019,湖北,理科,619,175,5777
2019,湖北,文科,619,36,496
2019,湖北,理科,618,170,5947
2019,湖北,文科,618,45,541
2019,湖北,理科,617,201,6148
2019,湖北,文科,617,42,583
2019,湖北,理科,616,213,6361
2019,湖北,文科,616,44,627
2019,湖北,理科,615,225,6586
2019,湖北,文科,615,37,664
2019,湖北,理科,614,228,6814
2019,湖北,文科,614,36,700
2019,湖北,理科,613,219,7033
2019,湖北,文科,613,50,750
2019,湖北,理科,612,241,7274
2019,湖北,文科,612,51,801
2019,湖北,理科,611,254,7528
2019,湖北,理科,611,254,7528
2019,湖北,文科,610,62,905
2019,湖北,理科,610,243,7771
2019,湖北,文科,609,55,960
2019,湖北,理科,609,247,8018
2019,湖北,文科,608,52,1012
2019,湖北,理科,608,219,8237
2019,湖北,文科,607,47,1059
2019,湖北,理科,607,215,8452
2019,湖北,文科,606,71,1130
2019,湖北,理科,606,230,8682
2019,湖北,文科,605,70,1200
2019,湖北,理科,605,243,8925
2019,湖北,文科,604,60,1260
2019,湖北,理科,604,276,9201
2019,湖北,文科,603,58,1318
2019,湖北,理科,603,253,9454
2019,湖北,文科,602,73,1391
2019,湖北,理科,602,252,9706
2019,湖北,文科,601,81,1472
2019,湖北,文科,601,81,1472
2019,湖北,理科,600,283,10280
2019,湖北,文科,600,88,1560
2019,湖北,理科,599,278,10558
2019,湖北,文科,599,81,1641
2019,湖北,理科,598,286,10844
2019,湖北,文科,598,87,1728
2019,湖北,理科,597,283,11127
2019,湖北,文科,597,80,1808
2019,湖北,理科,596,268,11395
2019,湖北,文科,596,104,1912
2019,湖北,理科,595,291,11686
2019,湖北,文科,595,88,2000
2019,湖北,理科,594,312,11998
2019,湖北,文科,594,100,2100
2019,湖北,理科,593,308,12306
2019,湖北,文科,593,88,2188
2019,湖北,理科,592,320,12626
2019,湖北,文科,592,94,2282
2019,湖北,理科,591,306,12932
2019,湖北,文科,591,93,2375
2019,湖北,文科,590,110,2485
2019,湖北,理科,590,340,13272
2019,湖北,理科,589,333,13605
2019,湖北,文科,589,111,2596
2019,湖北,文科,588,124,2720
2019,湖北,理科,588,307,13912
2019,湖北,理科,587,357,14269
2019,湖北,文科,587,115,2835
2019,湖北,理科,586,332,14601
2019,湖北,文科,586,144,2979
2019,湖北,文科,585,119,3098
2019,湖北,理科,585,338,14939
2019,湖北,理科,584,340,15279
2019,湖北,文科,584,136,3234
2019,湖北,文科,583,117,3351
2019,湖北,理科,583,347,15626
2019,湖北,理科,582,326,15952
2019,湖北,文科,582,146,3497
2019,湖北,文科,581,144,3641
2019,湖北,理科,581,355,16307
2019,湖北,文科,580,114,3755
2019,湖北,理科,580,344,16651
2019,湖北,文科,579,156,3911
2019,湖北,理科,579,362,17013
2019,湖北,文科,578,148,4059
2019,湖北,理科,578,357,17370
2019,湖北,文科,577,161,4220
2019,湖北,理科,577,369,17739
2019,湖北,文科,576,179,4399
2019,湖北,理科,576,368,18107
2019,湖北,文科,575,165,4564
2019,湖北,理科,575,396,18503
2019,湖北,文科,574,165,4729
2019,湖北,理科,574,348,18851
2019,湖北,文科,573,169,4898
2019,湖北,理科,573,396,19247
2019,湖北,文科,572,176,5074
2019,湖北,理科,572,387,19634
2019,湖北,文科,571,154,5228
2019,湖北,文科,571,154,5228
2019,湖北,理科,570,399,20422
2019,湖北,文科,570,203,5431
2019,湖北,理科,569,379,20801
2019,湖北,文科,569,206,5637
2019,湖北,理科,568,384,21185
2019,湖北,文科,568,199,5836
2019,湖北,理科,567,415,21600
2019,湖北,文科,567,223,6059
2019,湖北,理科,566,373,21973
2019,湖北,文科,566,205,6264
2019,湖北,理科,565,405,22378
2019,湖北,文科,565,222,6486
2019,湖北,理科,564,395,22773
2019,湖北,文科,564,201,6687
2019,湖北,理科,563,422,23195
2019,湖北,文科,563,210,6897
2019,湖北,理科,562,424,23619
2019,湖北,文科,562,219,7116
2019,湖北,理科,561,451,24070
2019,湖北,文科,561,244,7360
2019,湖北,理科,560,425,24495
2019,湖北,文科,560,188,7548
2019,湖北,理科,559,421,24916
2019,湖北,文科,559,213,7761
2019,湖北,理科,558,465,25381
2019,湖北,文科,558,227,7988
2019,湖北,理科,557,429,25810
2019,湖北,文科,557,246,8234
2019,湖北,理科,556,454,26264
2019,湖北,文科,556,214,8448
2019,湖北,理科,555,436,26700
2019,湖北,文科,555,224,8672
2019,湖北,理科,554,439,27139
2019,湖北,文科,554,248,8920
2019,湖北,理科,553,467,27606
2019,湖北,文科,553,233,9153
2019,湖北,理科,552,443,28049
2019,湖北,文科,552,270,9423
2019,湖北,理科,551,483,28532
2019,湖北,文科,551,230,9653
2019,湖北,理科,550,454,28986
2019,湖北,文科,550,250,9903
2019,湖北,文科,549,241,10144
2019,湖北,理科,549,508,29494
2019,湖北,理科,548,479,29973
2019,湖北,文科,548,261,10405
2019,湖北,理科,547,488,30461
2019,湖北,文科,547,256,10661
2019,湖北,理科,546,512,30973
2019,湖北,文科,546,238,10899
2019,湖北,理科,545,537,31510
2019,湖北,文科,545,252,11151
2019,湖北,理科,544,484,31994
2019,湖北,文科,544,247,11398
2019,湖北,文科,543,276,11674
2019,湖北,理科,543,536,32530
2019,湖北,理科,542,502,33032
2019,湖北,文科,542,269,11943
2019,湖北,理科,541,496,33528
2019,湖北,文科,541,293,12236
2019,湖北,理科,540,511,34039
2019,湖北,文科,540,268,12504
2019,湖北,文科,539,281,12785
2019,湖北,理科,539,501,34540
2019,湖北,文科,538,256,13041
2019,湖北,理科,538,533,35073
2019,湖北,理科,537,511,35584
2019,湖北,文科,537,260,13301
2019,湖北,理科,536,510,36094
2019,湖北,文科,536,312,13613
2019,湖北,文科,535,286,13899
2019,湖北,理科,535,544,36638
2019,湖北,文科,534,252,14151
2019,湖北,理科,534,564,37202
2019,湖北,理科,533,518,37720
2019,湖北,文科,533,253,14404
2019,湖北,理科,532,503,38223
2019,湖北,文科,532,315,14719
2019,湖北,文科,531,294,15013
2019,湖北,理科,531,498,38721
2019,湖北,文科,530,303,15316
2019,湖北,理科,530,519,39240
2019,湖北,文科,529,277,15593
2019,湖北,理科,529,576,39816
2019,湖北,文科,528,296,15889
2019,湖北,理科,528,515,40331
2019,湖北,文科,527,300,16189
2019,湖北,理科,527,515,40846
2019,湖北,文科,526,310,16499
2019,湖北,理科,526,560,41406
2019,湖北,文科,525,284,16783
2019,湖北,理科,525,537,41943
2019,湖北,文科,524,304,17087
2019,湖北,理科,524,580,42523
2019,湖北,文科,523,319,17406
2019,湖北,理科,523,535,43058
2019,湖北,文科,522,308,17714
2019,湖北,理科,522,537,43595
2019,湖北,文科,521,272,17986
2019,湖北,理科,521,546,44141
2019,湖北,文科,520,305,18291
2019,湖北,理科,520,562,44703
2019,湖北,文科,519,306,18597
2019,湖北,理科,519,501,45204
2019,湖北,文科,518,320,18917
2019,湖北,理科,518,588,45792
2019,湖北,文科,517,332,19249
2019,湖北,理科,517,553,46345
2019,湖北,文科,516,317,19566
2019,湖北,理科,516,571,46916
2019,湖北,文科,515,299,19865
2019,湖北,理科,515,556,47472
2019,湖北,文科,514,305,20170
2019,湖北,理科,514,577,48049
2019,湖北,文科,513,273,20443
2019,湖北,理科,513,521,48570
2019,湖北,文科,512,300,20743
2019,湖北,理科,512,578,49148
2019,湖北,文科,511,335,21078
2019,湖北,理科,511,576,49724
2019,湖北,文科,510,317,21395
2019,湖北,理科,510,578,50302
2019,湖北,文科,509,336,21731
2019,湖北,理科,509,592,50894
2019,湖北,文科,508,330,22061
2019,湖北,理科,508,571,51465
2019,湖北,文科,507,333,22394
2019,湖北,理科,507,560,52025
2019,湖北,文科,506,335,22729
2019,湖北,理科,506,584,52609
2019,湖北,文科,505,316,23045
2019,湖北,理科,505,592,53201
2019,湖北,文科,504,304,23349
2019,湖北,理科,504,557,53758
2019,湖北,文科,503,327,23676
2019,湖北,理科,503,616,54374
2019,湖北,文科,502,337,24013
2019,湖北,理科,502,539,54913
2019,湖北,文科,501,308,24321
2019,湖北,文科,501,308,24321
2019,湖北,理科,500,581,56066
2019,湖北,文科,500,320,24641
2019,湖北,理科,499,535,56601
2019,湖北,文科,499,357,24998
2019,湖北,理科,498,587,57188
2019,湖北,文科,498,308,25306
2019,湖北,理科,497,595,57783
2019,湖北,文科,497,343,25649
2019,湖北,理科,496,585,58368
2019,湖北,文科,496,304,25953
2019,湖北,理科,495,570,58938
2019,湖北,文科,495,315,26268
2019,湖北,理科,494,561,59499
2019,湖北,文科,494,325,26593
2019,湖北,理科,493,582,60081
2019,湖北,文科,493,324,26917
2019,湖北,理科,492,601,60682
2019,湖北,文科,492,355,27272
2019,湖北,理科,491,590,61272
2019,湖北,文科,491,344,27616
2019,湖北,理科,490,564,61836
2019,湖北,文科,490,343,27959
2019,湖北,理科,489,567,62403
