年份,考生所在地,考生类别,分数段,本段人数,累计人数
2019,湖南,理科,678,4,51
2019,湖南,理科,677,6,57
2019,湖南,理科,676,10,67
2019,湖南,理科,675,5,72
2019,湖南,理科,674,12,84
2019,湖南,理科,673,17,101
2019,湖南,理科,672,18,119
2019,湖南,理科,671,15,134
2019,湖南,理科,670,12,146
2019,湖南,理科,669,20,166
2019,湖南,理科,668,17,183
2019,湖南,理科,667,13,196
2019,湖南,理科,666,25,221
2019,湖南,理科,665,18,239
2019,湖南,理科,664,24,263
2019,湖南,理科,663,21,284
2019,湖南,理科,662,23,307
2019,湖南,理科,661,21,328
2019,湖南,理科,660,25,353
2019,湖南,理科,659,33,386
2019,湖南,理科,658,25,411
2019,湖南,理科,657,41,452
2019,湖南,理科,656,38,490
2019,湖南,理科,655,37,527
2019,湖南,文科,655,3,51
2019,湖南,文科,654,8,59
2019,湖南,理科,654,38,565
2019,湖南,理科,653,37,602
2019,湖南,文科,653,8,67
2019,湖南,文科,652,9,76
2019,湖南,理科,652,50,652
2019,湖南,理科,651,46,698
2019,湖南,文科,651,8,84
2019,湖南,文科,650,15,99
2019,湖南,理科,650,59,757
2019,湖南,理科,649,51,808
2019,湖南,文科,649,12,111
2019,湖南,文科,648,9,120
2019,湖南,理科,648,59,867
2019,湖南,理科,647,58,925
2019,湖南,理科,647,58,925
2019,湖南,理科,646,65,990
2019,湖南,文科,646,8,137
2019,湖南,文科,645,16,153
2019,湖南,理科,645,61,1051
2019,湖南,文科,644,11,164
2019,湖南,理科,644,84,1135
2019,湖南,文科,643,18,182
2019,湖南,理科,643,69,1204
2019,湖南,文科,642,15,197
2019,湖南,理科,642,70,1274
2019,湖南,文科,641,21,218
2019,湖南,理科,641,74,1348
2019,湖南,理科,640,60,1408
2019,湖南,文科,640,18,236
2019,湖南,文科,639,23,259
2019,湖南,理科,639,94,1502
2019,湖南,文科,638,19,278
2019,湖南,理科,638,93,1595
2019,湖南,文科,637,21,299
2019,湖南,文科,637,21,299
2019,湖南,文科,636,27,326
2019,湖南,理科,636,86,1787
2019,湖南,文科,635,25,351
2019,湖南,理科,635,100,1887
2019,湖南,文科,634,25,376
2019,湖南,理科,634,109,1996
2019,湖南,文科,633,33,409
2019,湖南,理科,633,110,2106
2019,湖南,文科,632,39,448
2019,湖南,理科,632,111,2217
2019,湖南,文科,631,32,480
2019,湖南,理科,631,116,2333
2019,湖南,文科,630,47,527
2019,湖南,理科,630,118,2451
2019,湖南,文科,629,45,572
2019,湖南,理科,629,119,2570
2019,湖南,文科,628,39,611
2019,湖南,理科,628,124,2694
2019,湖南,文科,627,46,657
2019,湖南,理科,627,126,2820
2019,湖南,文科,626,44,701
2019,湖南,理科,626,148,2968
2019,湖南,文科,625,49,750
2019,湖南,理科,625,133,3101
2019,湖南,文科,624,39,789
2019,湖南,理科,624,127,3228
2019,湖南,文科,623,55,844
2019,湖南,理科,623,160,3388
2019,湖南,文科,622,62,906
2019,湖南,理科,622,148,3536
2019,湖南,文科,621,53,959
2019,湖南,理科,621,148,3684
2019,湖南,文科,620,57,1016
2019,湖南,理科,620,144,3828
2019,湖南,文科,619,51,1067
2019,湖南,理科,619,154,3982
2019,湖南,文科,618,67,1134
2019,湖南,理科,618,140,4122
2019,湖南,文科,617,76,1210
2019,湖南,理科,617,149,4271
2019,湖南,文科,616,76,1286
2019,湖南,理科,616,171,4442
2019,湖南,文科,615,85,1371
2019,湖南,理科,615,161,4603
2019,湖南,文科,614,61,1432
2019,湖南,理科,614,158,4761
2019,湖南,文科,613,76,1508
2019,湖南,理科,613,172,4933
2019,湖南,文科,612,77,1585
2019,湖南,理科,612,186,5119
2019,湖南,文科,611,75,1660
2019,湖南,理科,611,192,5311
2019,湖南,文科,610,94,1754
2019,湖南,理科,610,194,5505
2019,湖南,文科,609,106,1860
2019,湖南,理科,609,203,5708
2019,湖南,文科,608,108,1968
2019,湖南,理科,608,209,5917
2019,湖南,文科,607,118,2086
2019,湖南,文科,607,118,2086
2019,湖南,理科,606,227,6327
2019,湖南,文科,606,112,2198
2019,湖南,文科,605,133,2331
2019,湖南,理科,605,197,6524
2019,湖南,理科,604,223,6747
2019,湖南,文科,604,127,2458
2019,湖南,理科,603,223,6970
2019,湖南,文科,603,102,2560
2019,湖南,理科,602,243,7213
2019,湖南,文科,602,126,2686
2019,湖南,理科,601,227,7440
2019,湖南,文科,601,112,2798
2019,湖南,理科,600,218,7658
2019,湖南,文科,600,136,2934
2019,湖南,理科,599,262,7920
2019,湖南,文科,599,133,3067
2019,湖南,理科,598,241,8161
2019,湖南,文科,598,128,3195
2019,湖南,文科,597,136,3331
2019,湖南,理科,597,270,8431
2019,湖南,文科,596,133,3464
2019,湖南,理科,596,273,8704
2019,湖南,文科,595,150,3614
2019,湖南,理科,595,295,8999
2019,湖南,文科,594,146,3760
2019,湖南,理科,594,255,9254
2019,湖南,文科,593,145,3905
2019,湖南,理科,593,261,9515
2019,湖南,文科,592,183,4088
2019,湖南,理科,592,277,9792
2019,湖南,文科,591,182,4270
2019,湖南,理科,591,273,10065
2019,湖南,文科,590,194,4464
2019,湖南,理科,590,290,10355
2019,湖南,文科,589,191,4655
2019,湖南,理科,589,286,10641
2019,湖南,文科,588,197,4852
2019,湖南,理科,588,279,10920
2019,湖南,文科,587,198,5050
2019,湖南,文科,587,198,5050
2019,湖南,理科,586,285,11496
2019,湖南,文科,586,196,5246
2019,湖南,理科,585,322,11818
2019,湖南,文科,585,224,5470
2019,湖南,理科,584,309,12127
2019,湖南,文科,584,226,5696
2019,湖南,理科,583,311,12438
2019,湖南,文科,583,235,5931
2019,湖南,理科,582,319,12757
2019,湖南,文科,582,205,6136
2019,湖南,理科,581,357,13114
2019,湖南,文科,581,260,6396
2019,湖南,理科,580,331,13445
2019,湖南,文科,580,247,6643
2019,湖南,理科,579,360,13805
2019,湖南,文科,579,241,6884
2019,湖南,理科,578,364,14169
2019,湖南,文科,578,236,7120
2019,湖南,理科,577,348,14517
2019,湖南,文科,577,275,7395
2019,湖南,文科,576,281,7676
2019,湖南,理科,576,342,14859
2019,湖南,理科,575,343,15202
2019,湖南,文科,575,259,7935
2019,湖南,理科,574,366,15568
2019,湖南,文科,574,251,8186
2019,湖南,文科,573,286,8472
2019,湖南,理科,573,356,15924
2019,湖南,理科,572,350,16274
2019,湖南,文科,572,285,8757
2019,湖南,文科,571,323,9080
2019,湖南,理科,571,374,16648
2019,湖南,理科,570,361,17009
2019,湖南,文科,570,288,9368
2019,湖南,文科,569,303,9671
2019,湖南,理科,569,381,17390
2019,湖南,理科,568,376,17766
2019,湖南,文科,568,331,10002
2019,湖南,文科,567,290,10292
2019,湖南,理科,567,398,18164
2019,湖南,文科,566,316,10608
2019,湖南,理科,566,450,18614
2019,湖南,文科,565,348,10956
2019,湖南,理科,565,419,19033
2019,湖南,文科,564,360,11316
2019,湖南,理科,564,399,19432
2019,湖南,文科,563,342,11658
2019,湖南,理科,563,450,19882
2019,湖南,文科,562,374,12032
2019,湖南,理科,562,454,20336
2019,湖南,文科,561,356,12388
2019,湖南,理科,561,436,20772
2019,湖南,文科,560,395,12783
2019,湖南,理科,560,449,21221
2019,湖南,文科,559,359,13142
2019,湖南,理科,559,468,21689
2019,湖南,文科,558,380,13522
2019,湖南,理科,558,442,22131
2019,湖南,文科,557,351,13873
2019,湖南,文科,557,351,13873
2019,湖南,理科,556,446,23029
2019,湖南,文科,556,397,14270
2019,湖南,理科,555,447,23476
2019,湖南,文科,555,398,14668
2019,湖南,理科,554,490,23966
2019,湖南,文科,554,405,15073
2019,湖南,理科,553,465,24431
2019,湖南,文科,553,439,15512
2019,湖南,理科,552,470,24901
2019,湖南,文科,552,388,15900
2019,湖南,理科,551,479,25380
2019,湖南,文科,551,430,16330
2019,湖南,理科,550,509,25889
2019,湖南,文科,550,435,16765
2019,湖南,理科,549,544,26433
2019,湖南,文科,549,432,17197
2019,湖南,理科,548,520,26953
2019,湖南,文科,548,421,17618
2019,湖南,理科,547,508,27461
2019,湖南,文科,547,481,18099
2019,湖南,理科,546,483,27944
2019,湖南,文科,546,457,18556
2019,湖南,理科,545,532,28476
2019,湖南,文科,545,492,19048
2019,湖南,理科,544,522,28998
2019,湖南,文科,544,486,19534
2019,湖南,理科,543,548,29546
2019,湖南,文科,543,464,19998
2019,湖南,理科,542,545,30091
2019,湖南,文科,542,465,20463
2019,湖南,理科,541,527,30618
2019,湖南,文科,541,495,20958
2019,湖南,理科,540,557,31175
2019,湖南,文科,540,510,21468
2019,湖南,理科,539,520,31695
2019,湖南,文科,539,479,21947
2019,湖南,理科,538,545,32240
2019,湖南,文科,538,477,22424
2019,湖南,理科,537,523,32763
2019,湖南,文科,537,492,22916
2019,湖南,理科,536,574,33337
2019,湖南,文科,536,521,23437
2019,湖南,理科,535,579,33916
2019,湖南,文科,535,523,23960
2019,湖南,理科,534,552,34468
2019,湖南,文科,534,557,24517
2019,湖南,理科,533,593,35061
2019,湖南,文科,533,536,25053
2019,湖南,理科,532,599,35660
2019,湖南,文科,532,487,25540
2019,湖南,理科,531,571,36231
2019,湖南,文科,531,537,26077
2019,湖南,理科,530,588,36819
2019,湖南,文科,530,568,26645
2019,湖南,理科,529,650,37469
2019,湖南,文科,529,566,27211
2019,湖南,理科,528,619,38088
2019,湖南,文科,528,554,27765
2019,湖南,理科,527,607,38695
2019,湖南,理科,527,607,38695
2019,湖南,理科,526,640,39335
2019,湖南,文科,526,554,28869
2019,湖南,文科,525,597,29466
2019,湖南,理科,525,623,39958
2019,湖南,理科,524,705,40663
2019,湖南,文科,524,550,30016
2019,湖南,文科,523,553,30569
2019,湖南,理科,523,631,41294
2019,湖南,理科,522,696,41990
2019,湖南,文科,522,574,31143
2019,湖南,文科,521,551,31694
2019,湖南,理科,521,692,42682
2019,湖南,文科,520,572,32266
2019,湖南,理科,520,690,43372
2019,湖南,理科,519,678,44050
2019,湖南,文科,519,577,32843
2019,湖南,理科,518,689,44739
2019,湖南,文科,518,576,33419
2019,湖南,文科,517,600,34019
2019,湖南,理科,517,660,45399
2019,湖南,理科,516,676,46075
2019,湖南,文科,516,615,34634
2019,湖南,文科,515,576,35210
2019,湖南,理科,515,717,46792
2019,湖南,理科,514,704,47496
2019,湖南,文科,514,598,35808
2019,湖南,文科,513,545,36353
2019,湖南,理科,513,692,48188
2019,湖南,文科,512,578,36931
2019,湖南,理科,512,732,48920
2019,湖南,理科,511,706,49626
2019,湖南,文科,511,569,37500
2019,湖南,理科,510,709,50335
2019,湖南,文科,510,563,38063
2019,湖南,文科,509,584,38647
2019,湖南,理科,509,715,51050
2019,湖南,文科,508,547,39194
2019,湖南,理科,508,747,51797
2019,湖南,理科,507,690,52487
2019,湖南,理科,507,690,52487
2019,湖南,文科,506,581,40338
2019,湖南,理科,506,727,53214
2019,湖南,文科,505,529,40867
2019,湖南,理科,505,708,53922
2019,湖南,文科,504,582,41449
2019,湖南,理科,504,783,54705
2019,湖南,文科,503,579,42028
2019,湖南,理科,503,754,55459
2019,湖南,文科,502,573,42601
2019,湖南,理科,502,783,56242
2019,湖南,文科,501,515,43116
2019,湖南,理科,501,804,57046
2019,湖南,文科,500,585,43701
2019,湖南,理科,500,792,57838
2019,湖南,文科,499,556,44257
2019,湖南,理科,499,782,58620
2019,湖南,文科,498,561,44818
2019,湖南,理科,498,789,59409
2019,湖南,文科,497,559,45377
2019,湖南,理科,497,836,60245
2019,湖南,文科,496,583,45960
2019,湖南,理科,496,767,61012
2019,湖南,文科,495,552,46512
2019,湖南,理科,495,851,61863
2019,湖南,文科,494,565,47077
2019,湖南,理科,494,853,62716
2019,湖南,文科,493,563,47640
2019,湖南,理科,493,773,63489
2019,湖南,文科,492,570,48210
2019,湖南,理科,492,759,64248
2019,湖南,文科,491,571,48781
2019,湖南,理科,491,850,65098
2019,湖南,文科,490,553,49334
2019,湖南,理科,490,857,65955
