年份,考生所在地,考生类别,分数段,本段人数,累计人数
2019,甘肃,理科,673,21,21
2019,甘肃,理科,672,2,23
2019,甘肃,理科,671,4,27
2019,甘肃,理科,670,7,34
2019,甘肃,理科,669,2,36
2019,甘肃,理科,668,6,42
2019,甘肃,理科,667,2,44
2019,甘肃,理科,666,9,53
2019,甘肃,理科,665,7,60
2019,甘肃,理科,664,4,64
2019,甘肃,理科,663,5,69
2019,甘肃,理科,662,7,76
2019,甘肃,理科,661,13,89
2019,甘肃,理科,660,10,99
2019,甘肃,理科,659,9,108
2019,甘肃,理科,658,14,122
2019,甘肃,理科,657,12,134
2019,甘肃,理科,656,9,143
2019,甘肃,理科,655,11,154
2019,甘肃,理科,654,8,162
2019,甘肃,理科,653,15,177
2019,甘肃,理科,652,13,190
2019,甘肃,理科,651,13,203
2019,甘肃,理科,650,18,221
2019,甘肃,理科,649,12,233
2019,甘肃,理科,648,17,250
2019,甘肃,理科,647,13,263
2019,甘肃,理科,646,17,280
2019,甘肃,理科,645,22,302
2019,甘肃,理科,644,15,317
2019,甘肃,文科,643,23,23
2019,甘肃,理科,643,13,330
2019,甘肃,理科,642,23,353
2019,甘肃,文科,642,6,29
2019,甘肃,理科,641,25,378
2019,甘肃,文科,641,1,30
2019,甘肃,理科,640,14,392
2019,甘肃,文科,640,1,31
2019,甘肃,理科,639,27,419
2019,甘肃,文科,639,4,35
2019,甘肃,理科,638,25,444
2019,甘肃,文科,638,2,37
2019,甘肃,理科,637,28,472
2019,甘肃,文科,637,3,40
2019,甘肃,文科,636,7,47
2019,甘肃,理科,636,23,495
2019,甘肃,文科,635,2,49
2019,甘肃,理科,635,15,510
2019,甘肃,文科,634,4,53
2019,甘肃,理科,634,30,540
2019,甘肃,文科,633,4,57
2019,甘肃,理科,633,36,576
2019,甘肃,文科,632,4,61
2019,甘肃,理科,632,31,607
2019,甘肃,文科,631,5,66
2019,甘肃,理科,631,35,642
2019,甘肃,文科,630,6,72
2019,甘肃,理科,630,22,664
2019,甘肃,文科,629,6,78
2019,甘肃,理科,629,41,705
2019,甘肃,理科,628,32,737
2019,甘肃,文科,628,8,86
2019,甘肃,文科,627,9,95
2019,甘肃,理科,627,23,760
2019,甘肃,理科,626,43,803
2019,甘肃,文科,626,12,107
2019,甘肃,理科,625,24,827
2019,甘肃,文科,625,7,114
2019,甘肃,文科,624,7,121
2019,甘肃,理科,624,41,868
2019,甘肃,文科,623,8,129
2019,甘肃,理科,623,33,901
2019,甘肃,文科,622,10,139
2019,甘肃,理科,622,41,942
2019,甘肃,文科,621,9,148
2019,甘肃,理科,621,43,985
2019,甘肃,文科,620,12,160
2019,甘肃,理科,620,44,1029
2019,甘肃,文科,619,11,171
2019,甘肃,理科,619,49,1078
2019,甘肃,文科,618,14,185
2019,甘肃,理科,618,43,1121
2019,甘肃,文科,617,17,202
2019,甘肃,理科,617,56,1177
2019,甘肃,文科,616,10,212
2019,甘肃,理科,616,38,1215
2019,甘肃,文科,615,8,220
2019,甘肃,理科,615,32,1247
2019,甘肃,文科,614,9,229
2019,甘肃,理科,614,59,1306
2019,甘肃,文科,613,15,244
2019,甘肃,理科,613,57,1363
2019,甘肃,文科,612,9,253
2019,甘肃,理科,612,45,1408
2019,甘肃,文科,611,11,264
2019,甘肃,理科,611,66,1474
2019,甘肃,文科,610,14,278
2019,甘肃,理科,610,70,1544
2019,甘肃,文科,609,8,286
2019,甘肃,理科,609,67,1611
2019,甘肃,文科,608,15,301
2019,甘肃,理科,608,62,1673
2019,甘肃,文科,607,17,318
2019,甘肃,理科,607,74,1747
2019,甘肃,文科,606,23,341
2019,甘肃,理科,606,63,1810
2019,甘肃,文科,605,18,359
2019,甘肃,理科,605,65,1875
2019,甘肃,文科,604,17,376
2019,甘肃,理科,604,76,1951
2019,甘肃,文科,603,16,392
2019,甘肃,理科,603,69,2020
2019,甘肃,文科,602,22,414
2019,甘肃,理科,602,71,2091
2019,甘肃,文科,601,20,434
2019,甘肃,理科,601,74,2165
2019,甘肃,文科,600,25,459
2019,甘肃,理科,600,102,2267
2019,甘肃,文科,599,22,481
2019,甘肃,理科,599,87,2354
2019,甘肃,文科,598,19,500
