年份,考生所在地,考生类别,分数段,本段人数,累计人数
2019,福建,理科,678,7,53
2019,福建,理科,677,8,61
2019,福建,理科,676,4,65
2019,福建,理科,675,2,67
2019,福建,理科,674,5,72
2019,福建,理科,673,8,80
2019,福建,理科,672,5,85
2019,福建,理科,671,8,93
2019,福建,理科,670,11,104
2019,福建,理科,669,12,116
2019,福建,理科,668,12,128
2019,福建,理科,667,13,141
2019,福建,理科,666,12,153
2019,福建,理科,665,17,170
2019,福建,理科,664,14,184
2019,福建,理科,663,23,207
2019,福建,理科,662,14,221
2019,福建,理科,661,20,241
2019,福建,理科,660,22,263
2019,福建,理科,659,14,277
2019,福建,理科,658,19,296
2019,福建,理科,657,26,322
2019,福建,理科,656,25,347
2019,福建,文科,655,6,19
2019,福建,理科,655,22,369
2019,福建,文科,654,2,21
2019,福建,理科,654,35,404
2019,福建,理科,653,25,429
2019,福建,理科,652,16,445
2019,福建,文科,652,3,24
2019,福建,理科,651,35,480
2019,福建,文科,651,5,29
2019,福建,理科,650,19,499
2019,福建,文科,650,4,33
2019,福建,理科,649,23,522
2019,福建,文科,649,4,37
2019,福建,理科,648,26,548
2019,福建,文科,648,2,39
2019,福建,理科,647,37,585
2019,福建,文科,647,6,45
2019,福建,文科,646,4,49
2019,福建,理科,646,43,628
2019,福建,文科,645,3,52
2019,福建,理科,645,43,671
2019,福建,文科,644,7,59
2019,福建,理科,644,26,697
2019,福建,文科,643,3,62
2019,福建,理科,643,42,739
2019,福建,文科,642,5,67
2019,福建,理科,642,54,793
2019,福建,文科,641,8,75
2019,福建,理科,641,45,838
2019,福建,文科,640,7,82
2019,福建,理科,640,46,884
2019,福建,文科,639,4,86
2019,福建,理科,639,42,926
2019,福建,文科,638,6,92
2019,福建,理科,638,47,973
2019,福建,文科,637,11,103
2019,福建,理科,637,47,1020
2019,福建,文科,636,16,119
2019,福建,理科,636,58,1078
2019,福建,理科,635,48,1126
2019,福建,文科,635,12,131
2019,福建,理科,634,47,1173
2019,福建,文科,634,10,141
2019,福建,理科,633,54,1227
2019,福建,文科,633,10,151
2019,福建,理科,632,58,1285
2019,福建,文科,632,17,168
2019,福建,文科,631,12,180
2019,福建,理科,631,71,1356
2019,福建,理科,630,79,1435
2019,福建,文科,630,11,191
2019,福建,理科,629,71,1506
2019,福建,文科,629,14,205
2019,福建,理科,628,78,1584
2019,福建,文科,628,17,222
2019,福建,理科,627,70,1654
2019,福建,文科,627,21,243
2019,福建,文科,626,21,264
2019,福建,理科,626,61,1715
2019,福建,文科,625,23,287
2019,福建,理科,625,77,1792
2019,福建,文科,624,30,317
2019,福建,理科,624,75,1867
2019,福建,文科,623,29,346
2019,福建,理科,623,75,1942
2019,福建,文科,622,21,367
2019,福建,理科,622,81,2023
2019,福建,文科,621,19,386
2019,福建,理科,621,94,2117
2019,福建,文科,620,31,417
2019,福建,理科,620,83,2200
2019,福建,文科,619,29,446
2019,福建,理科,619,86,2286
2019,福建,文科,618,26,472
2019,福建,理科,618,96,2382
2019,福建,文科,617,27,499
2019,福建,理科,617,123,2505
2019,福建,文科,616,24,523
2019,福建,理科,616,92,2597
2019,福建,文科,615,32,555
2019,福建,理科,615,104,2701
2019,福建,文科,614,34,589
2019,福建,理科,614,110,2811
2019,福建,文科,613,37,626
2019,福建,理科,613,104,2915
2019,福建,文科,612,39,665
2019,福建,理科,612,101,3016
2019,福建,文科,611,38,703
2019,福建,理科,611,86,3102
2019,福建,文科,610,48,751
2019,福建,理科,610,104,3206
