年份,考生所在地,考生类别,分数段,本段人数,累计人数
2019,贵州,理科,680,2,53
2019,贵州,理科,679,6,59
2019,贵州,理科,678,3,62
2019,贵州,理科,677,4,66
2019,贵州,理科,676,5,71
2019,贵州,理科,675,7,78
2019,贵州,理科,674,5,83
2019,贵州,理科,673,11,94
2019,贵州,理科,672,7,101
2019,贵州,理科,671,6,107
2019,贵州,理科,670,10,117
2019,贵州,理科,669,10,127
2019,贵州,理科,668,10,137
2019,贵州,理科,667,11,148
2019,贵州,理科,666,15,163
2019,贵州,理科,665,8,171
2019,贵州,理科,664,16,187
2019,贵州,理科,663,19,206
2019,贵州,理科,662,13,219
2019,贵州,理科,661,11,230
2019,贵州,理科,660,24,254
2019,贵州,理科,659,17,271
2019,贵州,理科,658,27,298
2019,贵州,理科,657,14,312
2019,贵州,理科,656,26,338
2019,贵州,理科,655,35,373
2019,贵州,理科,654,25,398
2019,贵州,理科,653,22,420
2019,贵州,理科,652,19,439
2019,贵州,理科,651,21,460
2019,贵州,文科,650,9,198
2019,贵州,理科,650,18,478
2019,贵州,文科,649,17,215
2019,贵州,理科,649,32,510
2019,贵州,文科,648,18,233
2019,贵州,理科,648,24,534
2019,贵州,理科,647,24,558
2019,贵州,文科,647,23,256
2019,贵州,理科,646,39,597
2019,贵州,文科,646,14,270
2019,贵州,文科,645,10,280
2019,贵州,理科,645,33,630
2019,贵州,理科,644,38,668
2019,贵州,文科,644,18,298
2019,贵州,理科,643,49,717
2019,贵州,文科,643,20,318
2019,贵州,理科,642,47,764
2019,贵州,文科,642,15,333
2019,贵州,文科,641,20,353
2019,贵州,理科,641,40,804
2019,贵州,文科,640,20,373
2019,贵州,理科,640,42,846
2019,贵州,文科,639,27,400
2019,贵州,理科,639,51,897
2019,贵州,理科,638,37,934
2019,贵州,文科,638,20,420
2019,贵州,理科,637,39,973
2019,贵州,文科,637,18,438
2019,贵州,理科,636,43,1016
2019,贵州,文科,636,20,458
2019,贵州,文科,635,24,482
2019,贵州,理科,635,54,1070
2019,贵州,文科,634,28,510
2019,贵州,理科,634,43,1113
2019,贵州,文科,633,27,537
2019,贵州,理科,633,46,1159
2019,贵州,文科,632,23,560
2019,贵州,理科,632,54,1213
2019,贵州,理科,631,47,1260
2019,贵州,文科,631,22,582
2019,贵州,文科,630,26,608
2019,贵州,理科,630,71,1331
2019,贵州,文科,629,26,634
2019,贵州,理科,629,47,1378
2019,贵州,文科,628,38,672
2019,贵州,理科,628,55,1433
2019,贵州,文科,627,42,714
2019,贵州,理科,627,61,1494
2019,贵州,理科,626,72,1566
2019,贵州,文科,626,28,742
2019,贵州,文科,625,33,775
2019,贵州,理科,625,59,1625
2019,贵州,文科,624,34,809
2019,贵州,理科,624,76,1701
2019,贵州,文科,623,35,844
2019,贵州,理科,623,65,1766
2019,贵州,文科,622,35,879
2019,贵州,理科,622,56,1822
2019,贵州,文科,621,37,916
2019,贵州,理科,621,76,1898
2019,贵州,文科,620,30,946
2019,贵州,理科,620,87,1985
2019,贵州,文科,619,28,974
2019,贵州,理科,619,85,2070
2019,贵州,文科,618,33,1007
2019,贵州,理科,618,60,2130
2019,贵州,文科,617,49,1056
2019,贵州,理科,617,78,2208
2019,贵州,理科,616,70,2278
2019,贵州,文科,616,40,1096
2019,贵州,文科,615,44,1140
2019,贵州,理科,615,99,2377
2019,贵州,文科,614,47,1187
2019,贵州,理科,614,98,2475
2019,贵州,文科,613,44,1231
2019,贵州,理科,613,84,2559
2019,贵州,文科,612,54,1285
2019,贵州,理科,612,111,2670
2019,贵州,文科,611,55,1340
2019,贵州,理科,611,104,2774
2019,贵州,文科,610,59,1399
2019,贵州,理科,610,86,2860
2019,贵州,文科,609,54,1453
2019,贵州,理科,609,98,2958
2019,贵州,文科,608,40,1493
2019,贵州,理科,608,100,3058
2019,贵州,文科,607,53,1546
2019,贵州,理科,607,100,3158
2019,贵州,文科,606,50,1596
2019,贵州,理科,606,129,3287
2019,贵州,理科,605,89,3376
2019,贵州,文科,605,61,1657
2019,贵州,理科,604,100,3476
2019,贵州,文科,604,59,1716
2019,贵州,文科,603,70,1786
2019,贵州,理科,603,100,3576
2019,贵州,理科,602,105,3681
2019,贵州,文科,602,70,1856
2019,贵州,理科,601,109,3790
2019,贵州,文科,601,60,1916
2019,贵州,文科,600,57,1973
2019,贵州,理科,600,138,3928
2019,贵州,理科,599,100,4028
2019,贵州,文科,599,84,2057
2019,贵州,文科,598,90,2147
2019,贵州,理科,598,132,4160
2019,贵州,理科,597,131,4291
2019,贵州,文科,597,72,2219
2019,贵州,文科,596,77,2296
2019,贵州,理科,596,121,4412
2019,贵州,文科,595,70,2366
2019,贵州,理科,595,129,4541
2019,贵州,理科,594,119,4660
2019,贵州,文科,594,76,2442
2019,贵州,文科,593,97,2539
2019,贵州,理科,593,127,4787
2019,贵州,理科,592,135,4922
2019,贵州,文科,592,79,2618
2019,贵州,理科,591,140,5062
2019,贵州,文科,591,82,2700
2019,贵州,理科,590,135,5197
2019,贵州,文科,590,84,2784
2019,贵州,文科,589,84,2868
2019,贵州,理科,589,135,5332
2019,贵州,理科,588,166,5498
2019,贵州,文科,588,87,2955
2019,贵州,文科,587,94,3049
2019,贵州,理科,587,145,5643
2019,贵州,理科,586,154,5797
2019,贵州,文科,586,99,3148
2019,贵州,理科,585,126,5923
2019,贵州,文科,585,96,3244
2019,贵州,理科,584,159,6082
2019,贵州,文科,584,97,3341
2019,贵州,理科,583,157,6239
2019,贵州,文科,583,97,3438
2019,贵州,文科,582,99,3537
2019,贵州,理科,582,178,6417
2019,贵州,理科,581,182,6599
2019,贵州,文科,581,127,3664
2019,贵州,理科,580,174,6773
2019,贵州,文科,580,117,3781
2019,贵州,理科,579,167,6940
2019,贵州,文科,579,107,3888
2019,贵州,理科,578,171,7111
2019,贵州,文科,578,100,3988
2019,贵州,理科,577,164,7275
2019,贵州,文科,577,124,4112
2019,贵州,理科,576,162,7437
2019,贵州,文科,576,91,4203
2019,贵州,理科,575,197,7634
2019,贵州,文科,575,135,4338
2019,贵州,文科,574,125,4463
2019,贵州,理科,574,169,7803
2019,贵州,文科,573,132,4595
2019,贵州,理科,573,176,7979
2019,贵州,文科,572,143,4738
2019,贵州,理科,572,185,8164
2019,贵州,文科,571,146,4884
2019,贵州,理科,571,197,8361
2019,贵州,文科,570,118,5002
2019,贵州,理科,570,211,8572
2019,贵州,文科,569,127,5129
2019,贵州,理科,569,194,8766
2019,贵州,文科,568,127,5256
2019,贵州,理科,568,217,8983
2019,贵州,文科,567,144,5400
2019,贵州,理科,567,210,9193
2019,贵州,文科,566,140,5540
2019,贵州,理科,566,200,9393
2019,贵州,文科,565,153,5693
2019,贵州,理科,565,205,9598
2019,贵州,文科,564,155,5848
2019,贵州,理科,564,204,9802
2019,贵州,文科,563,138,5986
2019,贵州,理科,563,208,10010
2019,贵州,文科,562,142,6128
2019,贵州,理科,562,215,10225
2019,贵州,文科,561,160,6288
2019,贵州,理科,561,254,10479
2019,贵州,文科,560,156,6444
2019,贵州,理科,560,235,10714
2019,贵州,文科,559,167,6611
2019,贵州,理科,559,222,10936
2019,贵州,文科,558,153,6764
2019,贵州,理科,558,216,11152
2019,贵州,文科,557,180,6944
2019,贵州,理科,557,257,11409
2019,贵州,文科,556,172,7116
2019,贵州,理科,556,206,11615
2019,贵州,理科,555,252,11867
2019,贵州,文科,555,174,7290
2019,贵州,理科,554,236,12103
2019,贵州,文科,554,152,7442
2019,贵州,理科,553,261,12364
2019,贵州,文科,553,200,7642
2019,贵州,理科,552,220,12584
2019,贵州,文科,552,191,7833
2019,贵州,理科,551,226,12810
2019,贵州,文科,551,183,8016
2019,贵州,理科,550,261,13071
2019,贵州,文科,550,195,8211
2019,贵州,理科,549,266,13337
2019,贵州,文科,549,195,8406
2019,贵州,理科,548,244,13581
2019,贵州,文科,548,194,8600
2019,贵州,理科,547,253,13834
2019,贵州,文科,547,200,8800
2019,贵州,理科,546,270,14104
2019,贵州,文科,546,186,8986
2019,贵州,理科,545,282,14386
2019,贵州,文科,545,188,9174
2019,贵州,理科,544,277,14663
2019,贵州,文科,544,187,9361
2019,贵州,理科,543,260,14923
2019,贵州,文科,543,203,9564
2019,贵州,理科,542,270,15193
2019,贵州,文科,542,220,9784
2019,贵州,理科,541,276,15469
2019,贵州,文科,541,225,10009
2019,贵州,理科,540,302,15771
2019,贵州,文科,540,223,10232
2019,贵州,理科,539,292,16063
2019,贵州,文科,539,196,10428
2019,贵州,理科,538,330,16393
2019,贵州,文科,538,241,10669
2019,贵州,理科,537,314,16707
2019,贵州,文科,537,225,10894
2019,贵州,理科,536,312,17019
2019,贵州,文科,536,228,11122
2019,贵州,理科,535,282,17301
2019,贵州,文科,535,267,11389
2019,贵州,理科,534,305,17606
2019,贵州,文科,534,252,11641
2019,贵州,文科,533,265,11906
2019,贵州,理科,533,287,17893
2019,贵州,理科,532,323,18216
2019,贵州,文科,532,249,12155
2019,贵州,理科,531,320,18536
2019,贵州,文科,531,252,12407
2019,贵州,理科,530,340,18876
2019,贵州,文科,530,283,12690
2019,贵州,理科,529,303,19179
2019,贵州,文科,529,255,12945
2019,贵州,理科,528,319,19498
2019,贵州,文科,528,256,13201
2019,贵州,理科,527,338,19836
2019,贵州,文科,527,284,13485
2019,贵州,文科,526,268,13753
2019,贵州,理科,526,332,20168
2019,贵州,理科,525,300,20468
2019,贵州,文科,525,297,14050
2019,贵州,文科,524,276,14326
2019,贵州,理科,524,329,20797
2019,贵州,理科,523,383,21180
2019,贵州,文科,523,287,14613
2019,贵州,理科,522,360,21540
2019,贵州,文科,522,290,14903
2019,贵州,理科,521,333,21873
2019,贵州,文科,521,317,15220
2019,贵州,文科,520,301,15521
2019,贵州,理科,520,379,22252
2019,贵州,理科,519,346,22598
2019,贵州,文科,519,307,15828
2019,贵州,理科,518,385,22983
2019,贵州,文科,518,338,16166
2019,贵州,理科,517,362,23345
2019,贵州,文科,517,314,16480
2019,贵州,理科,516,390,23735
2019,贵州,文科,516,328,16808
2019,贵州,文科,515,318,17126
2019,贵州,理科,515,319,24054
2019,贵州,文科,514,335,17461
2019,贵州,理科,514,344,24398
2019,贵州,文科,513,353,17814
2019,贵州,理科,513,375,24773
2019,贵州,文科,512,380,18194
2019,贵州,理科,512,380,25153
2019,贵州,文科,511,350,18544
2019,贵州,理科,511,369,25522
2019,贵州,文科,510,317,18861
2019,贵州,理科,510,402,25924
2019,贵州,文科,509,369,19230
2019,贵州,理科,509,346,26270
2019,贵州,文科,508,368,19598
