年份,考生所在地,考生类别,分数段,本段人数,累计人数
2019,辽宁,理科,695分及以上,10,10
2019,辽宁,理科,694,4,14
2019,辽宁,理科,693,4,18
2019,辽宁,理科,692,4,22
2019,辽宁,理科,691,6,28
2019,辽宁,理科,690,8,36
2019,辽宁,理科,689,6,42
2019,辽宁,理科,688,5,47
2019,辽宁,理科,687,9,56
2019,辽宁,理科,686,4,60
2019,辽宁,理科,685,12,72
2019,辽宁,理科,684,14,86
2019,辽宁,理科,683,11,97
2019,辽宁,理科,682,13,110
2019,辽宁,理科,681,11,121
2019,辽宁,理科,680,18,139
2019,辽宁,理科,679,15,154
2019,辽宁,理科,678,22,176
2019,辽宁,理科,677,18,194
2019,辽宁,理科,676,29,223
2019,辽宁,理科,675,16,239
2019,辽宁,理科,674,21,260
2019,辽宁,理科,673,30,290
2019,辽宁,理科,672,32,322
2019,辽宁,理科,671,31,353
2019,辽宁,理科,670,34,387
2019,辽宁,理科,669,33,420
2019,辽宁,理科,668,37,457
2019,辽宁,理科,667,40,497
2019,辽宁,文科,667分及以上,10,10
2019,辽宁,理科,666,37,534
2019,辽宁,文科,665,2,12
2019,辽宁,理科,665,46,580
2019,辽宁,理科,664,28,608
2019,辽宁,文科,664,4,16
2019,辽宁,理科,663,37,645
2019,辽宁,文科,663,4,20
2019,辽宁,理科,662,45,690
2019,辽宁,文科,662,3,23
2019,辽宁,文科,661,3,26
2019,辽宁,理科,661,56,746
2019,辽宁,文科,660,3,29
2019,辽宁,理科,660,38,784
2019,辽宁,理科,659,57,841
2019,辽宁,文科,659,3,32
2019,辽宁,文科,658,5,37
2019,辽宁,理科,658,55,896
2019,辽宁,文科,657,7,44
2019,辽宁,理科,657,61,957
2019,辽宁,理科,656,59,1016
2019,辽宁,文科,656,2,46
2019,辽宁,文科,655,5,51
2019,辽宁,理科,655,64,1080
2019,辽宁,理科,654,67,1147
2019,辽宁,文科,654,9,60
2019,辽宁,理科,653,68,1215
2019,辽宁,文科,653,6,66
2019,辽宁,文科,652,12,78
2019,辽宁,理科,652,81,1296
2019,辽宁,理科,651,72,1368
2019,辽宁,文科,651,13,91
2019,辽宁,文科,650,9,100
2019,辽宁,理科,650,69,1437
2019,辽宁,文科,649,11,111
2019,辽宁,理科,649,78,1515
2019,辽宁,理科,648,95,1610
2019,辽宁,文科,648,11,122
2019,辽宁,理科,647,81,1691
2019,辽宁,文科,647,17,139
2019,辽宁,理科,646,75,1766
2019,辽宁,文科,646,18,157
2019,辽宁,理科,645,96,1862
2019,辽宁,文科,645,19,176
2019,辽宁,文科,644,19,195
2019,辽宁,理科,644,97,1959
2019,辽宁,文科,643,14,209
2019,辽宁,理科,643,97,2056
2019,辽宁,理科,642,83,2139
2019,辽宁,文科,642,23,232
2019,辽宁,理科,641,122,2261
2019,辽宁,文科,641,17,249
2019,辽宁,理科,640,101,2362
2019,辽宁,文科,640,23,272
