年份,考生所在地,考生类别,分数段,本段人数,累计人数
2019,重庆,理科,701分及以上,11,11
2019,重庆,理科,700,3,14
2019,重庆,理科,699,3,17
2019,重庆,理科,698,6,23
2019,重庆,理科,697,4,27
2019,重庆,理科,696,3,30
2019,重庆,理科,695,4,34
2019,重庆,理科,694,4,38
2019,重庆,理科,693,6,44
2019,重庆,理科,692,7,51
2019,重庆,理科,691,7,58
2019,重庆,理科,690,8,66
2019,重庆,理科,689,7,73
2019,重庆,理科,688,6,79
2019,重庆,理科,687,4,83
2019,重庆,理科,686,15,98
2019,重庆,理科,685,15,113
2019,重庆,理科,684,18,131
2019,重庆,理科,683,9,140
2019,重庆,理科,682,14,154
2019,重庆,理科,681,10,164
2019,重庆,理科,680,13,177
2019,重庆,理科,679,23,200
2019,重庆,理科,678,18,218
2019,重庆,理科,677,30,248
2019,重庆,理科,676,22,270
2019,重庆,理科,675,21,291
2019,重庆,理科,674,29,320
2019,重庆,理科,673,28,348
2019,重庆,理科,672,33,381
2019,重庆,理科,671,29,410
2019,重庆,理科,670,29,439
2019,重庆,理科,669,28,467
2019,重庆,理科,668,21,488
2019,重庆,文科,668分及以上,10,10
2019,重庆,文科,667,1,11
2019,重庆,理科,667,37,525
2019,重庆,理科,666,49,574
2019,重庆,文科,666,2,13
2019,重庆,文科,665,1,14
2019,重庆,文科,665,1,14
2019,重庆,理科,664,35,657
2019,重庆,文科,664,2,16
2019,重庆,理科,663,54,711
2019,重庆,文科,663,1,17
2019,重庆,理科,662,43,754
2019,重庆,文科,662,3,20
2019,重庆,理科,661,49,803
2019,重庆,文科,661,3,23
2019,重庆,理科,660,56,859
2019,重庆,文科,660,3,26
2019,重庆,理科,659,50,909
2019,重庆,理科,658,66,975
2019,重庆,文科,658,3,29
2019,重庆,文科,657,1,30
2019,重庆,理科,657,53,1028
2019,重庆,文科,656,1,31
2019,重庆,理科,656,60,1088
2019,重庆,文科,655,6,37
2019,重庆,理科,655,69,1157
2019,重庆,理科,654,65,1222
2019,重庆,文科,654,5,42
2019,重庆,理科,653,65,1287
2019,重庆,文科,653,7,49
2019,重庆,理科,652,73,1360
2019,重庆,文科,652,3,52
2019,重庆,理科,651,81,1441
2019,重庆,文科,651,7,59
2019,重庆,理科,650,71,1512
2019,重庆,文科,650,6,65
2019,重庆,文科,649,9,74
2019,重庆,理科,649,74,1586
