年份,考生所在地,考生类别,分数段,本段人数,累计人数
2019,陕西,理科,698分及以上,60,60
2019,陕西,理科,697,7,67
2019,陕西,理科,696,7,74
2019,陕西,理科,695,12,86
2019,陕西,理科,694,10,96
2019,陕西,理科,693,15,111
2019,陕西,理科,692,11,122
2019,陕西,理科,691,9,131
2019,陕西,理科,690,13,144
2019,陕西,理科,689,10,154
2019,陕西,理科,688,13,167
2019,陕西,理科,687,21,188
2019,陕西,理科,686,9,197
2019,陕西,理科,685,26,223
2019,陕西,理科,684,25,248
2019,陕西,理科,683,22,270
2019,陕西,理科,682,23,293
2019,陕西,理科,681,29,322
2019,陕西,理科,680,21,343
2019,陕西,理科,679,29,372
2019,陕西,理科,678,28,400
2019,陕西,理科,677,34,434
2019,陕西,理科,676,42,476
2019,陕西,理科,675,26,502
2019,陕西,理科,674,32,534
2019,陕西,理科,673,46,580
2019,陕西,理科,672,31,611
2019,陕西,理科,671,44,655
2019,陕西,理科,670,41,696
2019,陕西,理科,669,40,736
2019,陕西,文科,668分及以上,50,50
2019,陕西,理科,668,32,768
2019,陕西,理科,667,43,811
2019,陕西,文科,667,3,53
2019,陕西,理科,666,46,857
2019,陕西,文科,666,5,58
2019,陕西,理科,665,42,899
2019,陕西,文科,665,5,63
2019,陕西,理科,664,42,941
2019,陕西,文科,664,8,71
2019,陕西,理科,663,51,992
2019,陕西,文科,663,6,77
2019,陕西,理科,662,55,1047
2019,陕西,文科,662,8,85
2019,陕西,文科,661,5,90
2019,陕西,理科,661,54,1101
2019,陕西,文科,660,3,93
2019,陕西,理科,660,57,1158
2019,陕西,文科,659,7,100
2019,陕西,理科,659,64,1222
2019,陕西,文科,658,6,106
2019,陕西,理科,658,38,1260
2019,陕西,文科,657,10,116
2019,陕西,理科,657,54,1314
2019,陕西,文科,656,4,120
2019,陕西,理科,656,76,1390
2019,陕西,文科,655,7,127
2019,陕西,理科,655,65,1455
2019,陕西,文科,654,9,136
2019,陕西,理科,654,67,1522
2019,陕西,理科,653,59,1581
2019,陕西,文科,653,8,144
