年份,考生所在地,考生类别,分数段,本段人数,累计人数
2019,青海,理科,690,1,1
2019,青海,理科,685,1,2
2019,青海,理科,678,1,3
2019,青海,理科,675,1,4
2019,青海,理科,671,1,5
2019,青海,理科,668,1,6
2019,青海,理科,667,1,7
2019,青海,理科,664,1,8
2019,青海,理科,663,2,10
2019,青海,理科,662,1,11
2019,青海,理科,658,1,12
2019,青海,理科,657,2,14
2019,青海,理科,656,1,15
2019,青海,理科,655,1,16
2019,青海,理科,654,2,18
2019,青海,理科,653,4,22
2019,青海,文科,653,1,1
2019,青海,理科,652,2,24
2019,青海,理科,651,3,27
2019,青海,文科,650,2,3
2019,青海,理科,649,1,28
2019,青海,理科,647,1,29
2019,青海,理科,646,1,30
2019,青海,理科,645,4,34
2019,青海,文科,645,1,4
2019,青海,理科,644,4,38
2019,青海,理科,643,2,40
2019,青海,理科,642,1,41
2019,青海,理科,641,3,44
2019,青海,文科,640,1,5
2019,青海,理科,640,4,48
2019,青海,理科,639,1,49
2019,青海,文科,639,1,6
2019,青海,理科,638,1,50
2019,青海,理科,637,3,53
2019,青海,理科,636,4,57
2019,青海,文科,636,2,8
2019,青海,理科,635,2,59
2019,青海,文科,635,1,9
2019,青海,理科,634,4,63
2019,青海,文科,633,3,12
2019,青海,理科,633,1,64
2019,青海,理科,632,2,66
2019,青海,理科,631,3,69
2019,青海,理科,630,10,79
2019,青海,文科,629,3,15
2019,青海,理科,629,2,81
2019,青海,文科,628,1,16
2019,青海,理科,628,3,84
2019,青海,文科,627,1,17
2019,青海,理科,627,4,88
2019,青海,文科,626,3,20
2019,青海,理科,626,2,90
2019,青海,理科,625,4,94
2019,青海,理科,624,5,99
2019,青海,文科,623,1,21
2019,青海,理科,623,7,106
2019,青海,理科,622,3,109
2019,青海,文科,622,2,23
2019,青海,文科,621,2,25
2019,青海,文科,621,2,25
2019,青海,理科,620,7,120
2019,青海,文科,620,2,27
2019,青海,文科,619,5,32
2019,青海,理科,619,4,124
2019,青海,文科,618,3,35
2019,青海,理科,618,4,128
2019,青海,文科,617,3,38
2019,青海,理科,617,8,136
2019,青海,理科,616,9,145
2019,青海,文科,616,2,40
2019,青海,理科,615,1,146
2019,青海,文科,615,3,43
2019,青海,理科,614,6,152
2019,青海,文科,614,1,44
2019,青海,文科,613,1,45
2019,青海,理科,613,2,154
2019,青海,文科,612,2,47
2019,青海,理科,612,9,163
2019,青海,理科,611,8,171
2019,青海,理科,610,10,181
2019,青海,理科,609,6,187
2019,青海,文科,609,4,51
2019,青海,理科,608,10,197
2019,青海,文科,608,3,54
2019,青海,理科,607,4,201
2019,青海,文科,607,2,56
2019,青海,理科,606,12,213
2019,青海,文科,606,3,59
2019,青海,理科,605,8,221
2019,青海,文科,605,2,61
2019,青海,理科,604,4,225
2019,青海,文科,604,3,64
2019,青海,理科,603,11,236
2019,青海,文科,603,2,66
2019,青海,理科,602,7,243
2019,青海,文科,602,5,71
2019,青海,理科,601,8,251
2019,青海,文科,601,2,73
2019,青海,理科,600,5,256
2019,青海,理科,600,5,256
2019,青海,文科,599,5,82
2019,青海,理科,599,9,265
2019,青海,文科,598,4,86
2019,青海,理科,598,8,273
2019,青海,文科,597,3,89
2019,青海,理科,597,11,284
2019,青海,文科,596,2,91
2019,青海,理科,596,7,291
2019,青海,文科,595,3,94
2019,青海,理科,595,9,300
2019,青海,文科,594,3,97
2019,青海,理科,594,11,311
2019,青海,文科,593,5,102
2019,青海,理科,593,7,318
2019,青海,文科,592,5,107
2019,青海,理科,592,8,326
2019,青海,文科,591,5,112
2019,青海,理科,591,8,334
2019,青海,文科,590,1,113
2019,青海,理科,590,10,344
2019,青海,理科,589,9,353
2019,青海,文科,589,6,119
2019,青海,理科,588,8,361
2019,青海,文科,588,10,129
2019,青海,理科,587,13,374
2019,青海,文科,587,10,139
2019,青海,理科,586,6,380
2019,青海,文科,586,6,145
2019,青海,理科,585,16,396
2019,青海,文科,585,5,150
2019,青海,理科,584,17,413
2019,青海,文科,584,18,168
2019,青海,文科,583,4,172
2019,青海,理科,583,13,426
2019,青海,理科,582,12,438
2019,青海,文科,582,6,178
2019,青海,理科,581,15,453
2019,青海,文科,581,4,182
2019,青海,理科,580,14,467
2019,青海,理科,580,14,467
2019,青海,文科,579,6,196
