年份,考生所在地,考生类别,分数段,本段人数,累计人数
2019,黑龙江,理科,698分及以上,10,10
2019,黑龙江,理科,696,2,12
2019,黑龙江,理科,695,3,15
2019,黑龙江,理科,694,3,18
2019,黑龙江,理科,693,4,22
2019,黑龙江,理科,692,2,24
2019,黑龙江,理科,691,3,27
2019,黑龙江,理科,690,8,35
2019,黑龙江,理科,689,5,40
2019,黑龙江,理科,688,7,47
2019,黑龙江,理科,687,4,51
2019,黑龙江,理科,686,2,53
2019,黑龙江,理科,685,7,60
2019,黑龙江,理科,684,11,71
2019,黑龙江,理科,683,8,79
2019,黑龙江,理科,682,9,88
2019,黑龙江,理科,681,9,97
2019,黑龙江,理科,680,13,110
2019,黑龙江,理科,679,13,123
2019,黑龙江,理科,678,10,133
2019,黑龙江,理科,677,16,149
2019,黑龙江,理科,676,18,167
2019,黑龙江,理科,675,21,188
2019,黑龙江,理科,674,17,205
2019,黑龙江,理科,673,13,218
2019,黑龙江,理科,672,16,234
2019,黑龙江,理科,671,14,248
2019,黑龙江,理科,670,17,265
2019,黑龙江,理科,669,24,289
2019,黑龙江,理科,668,29,318
2019,黑龙江,理科,667,29,347
2019,黑龙江,理科,666,21,368
2019,黑龙江,理科,665,27,395
2019,黑龙江,理科,664,28,423
2019,黑龙江,理科,663,23,446
2019,黑龙江,理科,662,28,474
2019,黑龙江,理科,661,33,507
2019,黑龙江,理科,660,30,537
2019,黑龙江,理科,659,36,573
2019,黑龙江,理科,658,33,606
2019,黑龙江,理科,657,33,639
2019,黑龙江,理科,656,45,684
2019,黑龙江,理科,655,51,735
2019,黑龙江,理科,654,32,767
2019,黑龙江,理科,653,45,812
2019,黑龙江,理科,652,43,855
2019,黑龙江,理科,651,48,903
2019,黑龙江,理科,650,68,971
2019,黑龙江,理科,649,71,1042
2019,黑龙江,理科,648,56,1098
2019,黑龙江,理科,647,51,1149
2019,黑龙江,理科,646,47,1196
2019,黑龙江,文科,646分及以上,10,10
2019,黑龙江,理科,645,48,1244
2019,黑龙江,文科,645,3,13
2019,黑龙江,理科,644,57,1301
2019,黑龙江,文科,644,2,15
2019,黑龙江,理科,643,64,1365
2019,黑龙江,文科,643,2,17
2019,黑龙江,理科,642,73,1438
2019,黑龙江,文科,642,5,22
2019,黑龙江,理科,641,72,1510
2019,黑龙江,文科,641,1,23
2019,黑龙江,文科,640,2,25
2019,黑龙江,理科,640,62,1572
2019,黑龙江,文科,639,7,32
2019,黑龙江,理科,639,50,1622
2019,黑龙江,文科,638,2,34
2019,黑龙江,理科,638,79,1701
2019,黑龙江,理科,637,67,1768
2019,黑龙江,文科,637,6,40
2019,黑龙江,理科,636,78,1846
2019,黑龙江,文科,636,8,48
2019,黑龙江,理科,635,74,1920
2019,黑龙江,文科,634,1,49
2019,黑龙江,理科,634,85,2005
2019,黑龙江,理科,633,95,2100
2019,黑龙江,文科,633,3,52
2019,黑龙江,理科,632,87,2187
2019,黑龙江,文科,632,10,62
2019,黑龙江,文科,631,8,70
2019,黑龙江,理科,631,79,2266
2019,黑龙江,文科,630,2,72
2019,黑龙江,理科,630,91,2357
2019,黑龙江,文科,629,9,81
2019,黑龙江,理科,629,86,2443
2019,黑龙江,文科,628,10,91
2019,黑龙江,理科,628,91,2534
2019,黑龙江,文科,627,6,97
2019,黑龙江,理科,627,114,2648
2019,黑龙江,文科,626,5,102
2019,黑龙江,理科,626,103,2751
2019,黑龙江,文科,625,9,111
2019,黑龙江,理科,625,106,2857
2019,黑龙江,文科,624,8,119
2019,黑龙江,理科,624,96,2953
2019,黑龙江,文科,623,4,123
2019,黑龙江,理科,623,86,3039
2019,黑龙江,文科,622,6,129
2019,黑龙江,理科,622,97,3136
2019,黑龙江,文科,621,10,139
2019,黑龙江,理科,621,109,3245
2019,黑龙江,文科,620,11,150
2019,黑龙江,理科,620,109,3354
2019,黑龙江,文科,619,15,165
2019,黑龙江,理科,619,140,3494
2019,黑龙江,文科,618,12,177
2019,黑龙江,理科,618,113,3607
2019,黑龙江,文科,617,10,187
2019,黑龙江,理科,617,108,3715
2019,黑龙江,文科,616,8,195
2019,黑龙江,理科,616,94,3809
2019,黑龙江,文科,615,10,205
2019,黑龙江,理科,615,122,3931
2019,黑龙江,文科,614,6,211
2019,黑龙江,理科,614,131,4062
2019,黑龙江,文科,613,6,217
2019,黑龙江,理科,613,102,4164
2019,黑龙江,文科,612,9,226
2019,黑龙江,理科,612,122,4286
2019,黑龙江,文科,611,17,243
2019,黑龙江,理科,611,150,4436
2019,黑龙江,理科,610,125,4561
2019,黑龙江,文科,610,23,266
2019,黑龙江,理科,609,137,4698
2019,黑龙江,文科,609,18,284
2019,黑龙江,理科,608,109,4807
2019,黑龙江,文科,608,23,307
2019,黑龙江,理科,607,135,4942
2019,黑龙江,文科,607,15,322
2019,黑龙江,理科,606,132,5074
2019,黑龙江,文科,606,12,334
2019,黑龙江,理科,605,126,5200
2019,黑龙江,文科,605,20,354
2019,黑龙江,理科,604,141,5341
2019,黑龙江,文科,604,17,371
2019,黑龙江,理科,603,159,5500
2019,黑龙江,文科,603,20,391
2019,黑龙江,文科,602,15,406
2019,黑龙江,理科,602,144,5644
2019,黑龙江,文科,601,27,433
2019,黑龙江,理科,601,166,5810
2019,黑龙江,文科,600,18,451
2019,黑龙江,理科,600,149,5959
2019,黑龙江,文科,599,25,476
2019,黑龙江,理科,599,153,6112
2019,黑龙江,文科,598,26,502
2019,黑龙江,理科,598,149,6261
2019,黑龙江,文科,597,17,519
2019,黑龙江,理科,597,158,6419
2019,黑龙江,文科,596,36,555
2019,黑龙江,理科,596,177,6596
2019,黑龙江,文科,595,26,581
2019,黑龙江,理科,595,155,6751
2019,黑龙江,文科,594,20,601
2019,黑龙江,理科,594,166,6917
2019,黑龙江,文科,593,28,629
2019,黑龙江,理科,593,180,7097
2019,黑龙江,文科,592,25,654
2019,黑龙江,理科,592,134,7231
2019,黑龙江,理科,591,140,7371
2019,黑龙江,文科,591,27,681
2019,黑龙江,理科,590,161,7532
2019,黑龙江,文科,590,28,709
2019,黑龙江,理科,589,176,7708
2019,黑龙江,文科,589,20,729
2019,黑龙江,理科,588,200,7908
2019,黑龙江,文科,588,32,761
2019,黑龙江,理科,587,201,8109
2019,黑龙江,文科,587,40,801
2019,黑龙江,理科,586,199,8308
2019,黑龙江,文科,586,52,853
2019,黑龙江,理科,585,170,8478
2019,黑龙江,文科,585,37,890
2019,黑龙江,理科,584,200,8678
2019,黑龙江,文科,584,39,929
2019,黑龙江,理科,583,175,8853
2019,黑龙江,文科,583,40,969
2019,黑龙江,理科,582,222,9075
2019,黑龙江,文科,582,29,998
2019,黑龙江,文科,581,42,1040
2019,黑龙江,理科,581,197,9272
2019,黑龙江,理科,580,194,9466
2019,黑龙江,文科,580,42,1082
2019,黑龙江,文科,579,30,1112
2019,黑龙江,理科,579,168,9634
2019,黑龙江,理科,578,197,9831
2019,黑龙江,文科,578,29,1141
2019,黑龙江,文科,577,38,1179
2019,黑龙江,理科,577,194,10025
2019,黑龙江,理科,576,190,10215
2019,黑龙江,文科,576,42,1221
2019,黑龙江,文科,575,55,1276
2019,黑龙江,理科,575,178,10393
2019,黑龙江,理科,574,202,10595
2019,黑龙江,文科,574,51,1327
2019,黑龙江,文科,573,56,1383
2019,黑龙江,理科,573,220,10815
2019,黑龙江,文科,572,54,1437
2019,黑龙江,理科,572,210,11025
2019,黑龙江,文科,571,48,1485
2019,黑龙江,理科,571,203,11228
2019,黑龙江,文科,570,51,1536
2019,黑龙江,理科,570,209,11437
2019,黑龙江,文科,569,49,1585
